date,meal_type,food_item,pred_footfall,qty_kg_needed
2024-01-07,Lunch,Dal,374.08,74.82
2024-01-07,Lunch,Sabzi,374.08,56.11
2024-01-07,Lunch,Roti,374.08,44.89
2024-01-07,Snacks,Tea,223.55,33.53
2024-01-07,Snacks,Snack Item,223.55,22.36
2024-01-08,Breakfast,Rice/Upma,177.15,35.43
2024-01-08,Breakfast,Dal/Curry,177.15,26.57
2024-01-08,Breakfast,Bread,177.15,17.72
2024-01-08,Dinner,Rice,416.43,124.93
2024-01-08,Dinner,Dal,416.43,83.29
2024-01-08,Dinner,Sabzi,416.43,62.46
2024-01-08,Dinner,Roti,416.43,49.97
2024-01-08,Lunch,Rice,380.56,133.2
2024-01-08,Lunch,Dal,380.56,76.11
2024-01-08,Lunch,Sabzi,380.56,57.08
2024-01-08,Lunch,Roti,380.56,45.67
2024-01-08,Snacks,Tea,224.19,33.63
2024-01-08,Snacks,Snack Item,224.19,22.42
2024-01-09,Breakfast,Rice/Upma,149.23,29.85
2024-01-09,Breakfast,Dal/Curry,149.23,22.38
2024-01-09,Breakfast,Bread,149.23,14.92
2024-01-09,Dinner,Rice,409.3,122.79
2024-01-09,Dinner,Dal,409.3,81.86
2024-01-09,Dinner,Sabzi,409.3,61.4
2024-01-09,Dinner,Roti,409.3,49.12
2024-01-09,Lunch,Rice,378.08,132.33
2024-01-09,Lunch,Dal,378.08,75.62
2024-01-09,Lunch,Sabzi,378.08,56.71
2024-01-09,Lunch,Roti,378.08,45.37
2024-01-09,Snacks,Tea,212.75,31.91
2024-01-09,Snacks,Snack Item,212.75,21.28
2024-01-10,Breakfast,Rice/Upma,158.96,31.79
2024-01-10,Breakfast,Dal/Curry,158.96,23.84
2024-01-10,Breakfast,Bread,158.96,15.9
2024-01-10,Dinner,Rice,399.89,119.97
2024-01-10,Dinner,Dal,399.89,79.98
2024-01-10,Dinner,Sabzi,399.89,59.98
2024-01-10,Dinner,Roti,399.89,47.99
2024-01-10,Lunch,Rice,375.74,131.51
2024-01-10,Lunch,Dal,375.74,75.15
2024-01-10,Lunch,Sabzi,375.74,56.36
2024-01-10,Lunch,Roti,375.74,45.09
2024-01-10,Snacks,Tea,224.03,33.6
2024-01-10,Snacks,Snack Item,224.03,22.4
2024-01-11,Breakfast,Rice/Upma,167.93,33.59
2024-01-11,Breakfast,Dal/Curry,167.93,25.19
2024-01-11,Breakfast,Bread,167.93,16.79
2024-01-11,Dinner,Rice,415.22,124.57
2024-01-11,Dinner,Dal,415.22,83.04
2024-01-11,Dinner,Sabzi,415.22,62.28
2024-01-11,Dinner,Roti,415.22,49.83
2024-01-11,Lunch,Rice,377.06,131.97
2024-01-11,Lunch,Dal,377.06,75.41
2024-01-11,Lunch,Sabzi,377.06,56.56
2024-01-11,Lunch,Roti,377.06,45.25
2024-01-11,Snacks,Tea,224.24,33.64
2024-01-11,Snacks,Snack Item,224.24,22.42
2024-01-12,Breakfast,Rice/Upma,177.5,35.5
2024-01-12,Breakfast,Dal/Curry,177.5,26.62
2024-01-12,Breakfast,Bread,177.5,17.75
2024-01-12,Dinner,Rice,413.32,124.0
2024-01-12,Dinner,Dal,413.32,82.66
2024-01-12,Dinner,Sabzi,413.32,62.0
2024-01-12,Dinner,Roti,413.32,49.6
2024-01-12,Lunch,Rice,370.17,129.56
2024-01-12,Lunch,Dal,370.17,74.03
2024-01-12,Lunch,Sabzi,370.17,55.53
2024-01-12,Lunch,Roti,370.17,44.42
2024-01-12,Snacks,Tea,225.33,33.8
2024-01-12,Snacks,Snack Item,225.33,22.53
2024-01-13,Breakfast,Rice/Upma,165.99,33.2
2024-01-13,Breakfast,Dal/Curry,165.99,24.9
2024-01-13,Breakfast,Bread,165.99,16.6
2024-01-13,Dinner,Rice,408.82,122.65
2024-01-13,Dinner,Dal,408.82,81.76
2024-01-13,Dinner,Sabzi,408.82,61.32
2024-01-13,Dinner,Roti,408.82,49.06
2024-01-13,Lunch,Rice,376.16,131.66
2024-01-13,Lunch,Dal,376.16,75.23
2024-01-13,Lunch,Sabzi,376.16,56.42
2024-01-13,Lunch,Roti,376.16,45.14
2024-01-13,Snacks,Tea,237.68,35.65
2024-01-13,Snacks,Snack Item,237.68,23.77
2024-01-14,Breakfast,Rice/Upma,102.52,20.5
2024-01-14,Breakfast,Dal/Curry,102.52,15.38
2024-01-14,Breakfast,Bread,102.52,10.25
2024-01-14,Dinner,Rice,412.24,123.67
2024-01-14,Dinner,Dal,412.24,82.45
2024-01-14,Dinner,Sabzi,412.24,61.84
2024-01-14,Dinner,Roti,412.24,49.47
2024-01-14,Lunch,Rice,382.96,134.04
2024-01-14,Lunch,Dal,382.96,76.59
2024-01-14,Lunch,Sabzi,382.96,57.44
2024-01-14,Lunch,Roti,382.96,45.96
2024-01-14,Snacks,Tea,218.11,32.72
2024-01-14,Snacks,Snack Item,218.11,21.81
2024-01-15,Breakfast,Rice/Upma,148.23,29.65
2024-01-15,Breakfast,Dal/Curry,148.23,22.23
2024-01-15,Breakfast,Bread,148.23,14.82
2024-01-15,Dinner,Rice,410.09,123.03
2024-01-15,Dinner,Dal,410.09,82.02
2024-01-15,Dinner,Sabzi,410.09,61.51
2024-01-15,Dinner,Roti,410.09,49.21
2024-01-15,Lunch,Rice,375.55,131.44
2024-01-15,Lunch,Dal,375.55,75.11
2024-01-15,Lunch,Sabzi,375.55,56.33
2024-01-15,Lunch,Roti,375.55,45.07
2024-01-15,Snacks,Tea,229.3,34.4
2024-01-15,Snacks,Snack Item,229.3,22.93
2024-01-16,Breakfast,Rice/Upma,171.5,34.3
2024-01-16,Breakfast,Dal/Curry,171.5,25.72
2024-01-16,Breakfast,Bread,171.5,17.15
2024-01-16,Dinner,Rice,403.18,120.95
2024-01-16,Dinner,Dal,403.18,80.64
2024-01-16,Dinner,Sabzi,403.18,60.48
2024-01-16,Dinner,Roti,403.18,48.38
2024-01-16,Lunch,Rice,376.08,131.63
2024-01-16,Lunch,Dal,376.08,75.22
2024-01-16,Lunch,Sabzi,376.08,56.41
2024-01-16,Lunch,Roti,376.08,45.13
2024-01-16,Snacks,Tea,230.29,34.54
2024-01-16,Snacks,Snack Item,230.29,23.03
2024-01-17,Breakfast,Rice/Upma,173.53,34.71
2024-01-17,Breakfast,Dal/Curry,173.53,26.03
2024-01-17,Breakfast,Bread,173.53,17.35
2024-01-17,Dinner,Rice,404.93,121.48
2024-01-17,Dinner,Dal,404.93,80.99
2024-01-17,Dinner,Sabzi,404.93,60.74
2024-01-17,Dinner,Roti,404.93,48.59
2024-01-17,Lunch,Rice,374.64,131.12
2024-01-17,Lunch,Dal,374.64,74.93
2024-01-17,Lunch,Sabzi,374.64,56.2
2024-01-17,Lunch,Roti,374.64,44.96
2024-01-17,Snacks,Tea,229.62,34.44
2024-01-17,Snacks,Snack Item,229.62,22.96
2024-01-18,Breakfast,Rice/Upma,174.29,34.86
2024-01-18,Breakfast,Dal/Curry,174.29,26.14
2024-01-18,Breakfast,Bread,174.29,17.43
2024-01-18,Dinner,Rice,408.73,122.62
2024-01-18,Dinner,Dal,408.73,81.75
2024-01-18,Dinner,Sabzi,408.73,61.31
2024-01-18,Dinner,Roti,408.73,49.05
2024-01-18,Lunch,Rice,385.94,135.08
2024-01-18,Lunch,Dal,385.94,77.19
2024-01-18,Lunch,Sabzi,385.94,57.89
2024-01-18,Lunch,Roti,385.94,46.31
2024-01-18,Snacks,Tea,233.68,35.05
2024-01-18,Snacks,Snack Item,233.68,23.37
2024-01-19,Breakfast,Rice/Upma,167.14,33.43
2024-01-19,Breakfast,Dal/Curry,167.14,25.07
2024-01-19,Breakfast,Bread,167.14,16.71
2024-01-19,Dinner,Rice,412.82,123.85
2024-01-19,Dinner,Dal,412.82,82.56
2024-01-19,Dinner,Sabzi,412.82,61.92
2024-01-19,Dinner,Roti,412.82,49.54
2024-01-19,Lunch,Rice,383.19,134.12
2024-01-19,Lunch,Dal,383.19,76.64
2024-01-19,Lunch,Sabzi,383.19,57.48
2024-01-19,Lunch,Roti,383.19,45.98
2024-01-19,Snacks,Tea,236.1,35.42
2024-01-19,Snacks,Snack Item,236.1,23.61
2024-01-20,Breakfast,Rice/Upma,145.49,29.1
2024-01-20,Breakfast,Dal/Curry,145.49,21.82
2024-01-20,Breakfast,Bread,145.49,14.55
2024-01-20,Dinner,Rice,409.08,122.72
2024-01-20,Dinner,Dal,409.08,81.82
2024-01-20,Dinner,Sabzi,409.08,61.36
2024-01-20,Dinner,Roti,409.08,49.09
2024-01-20,Lunch,Rice,381.75,133.61
2024-01-20,Lunch,Dal,381.75,76.35
2024-01-20,Lunch,Sabzi,381.75,57.26
2024-01-20,Lunch,Roti,381.75,45.81
2024-01-20,Snacks,Tea,228.53,34.28
2024-01-20,Snacks,Snack Item,228.53,22.85
2024-01-21,Breakfast,Rice/Upma,125.06,25.01
2024-01-21,Breakfast,Dal/Curry,125.06,18.76
2024-01-21,Breakfast,Bread,125.06,12.51
2024-01-21,Dinner,Rice,409.82,122.95
2024-01-21,Dinner,Dal,409.82,81.96
2024-01-21,Dinner,Sabzi,409.82,61.47
2024-01-21,Dinner,Roti,409.82,49.18
2024-01-21,Lunch,Rice,380.25,133.09
2024-01-21,Lunch,Dal,380.25,76.05
2024-01-21,Lunch,Sabzi,380.25,57.04
2024-01-21,Lunch,Roti,380.25,45.63
2024-01-21,Snacks,Tea,229.12,34.37
2024-01-21,Snacks,Snack Item,229.12,22.91
2024-01-22,Breakfast,Rice/Upma,169.73,33.95
2024-01-22,Breakfast,Dal/Curry,169.73,25.46
2024-01-22,Breakfast,Bread,169.73,16.97
2024-01-22,Dinner,Rice,415.95,124.78
2024-01-22,Dinner,Dal,415.95,83.19
2024-01-22,Dinner,Sabzi,415.95,62.39
2024-01-22,Dinner,Roti,415.95,49.91
2024-01-22,Lunch,Rice,378.57,132.5
2024-01-22,Lunch,Dal,378.57,75.71
2024-01-22,Lunch,Sabzi,378.57,56.79
2024-01-22,Lunch,Roti,378.57,45.43
2024-01-22,Snacks,Tea,236.16,35.42
2024-01-22,Snacks,Snack Item,236.16,23.62
2024-01-23,Breakfast,Rice/Upma,177.28,35.46
2024-01-23,Breakfast,Dal/Curry,177.28,26.59
2024-01-23,Breakfast,Bread,177.28,17.73
2024-01-23,Dinner,Rice,406.53,121.96
2024-01-23,Dinner,Dal,406.53,81.31
2024-01-23,Dinner,Sabzi,406.53,60.98
2024-01-23,Dinner,Roti,406.53,48.78
2024-01-23,Lunch,Rice,381.47,133.51
2024-01-23,Lunch,Dal,381.47,76.29
2024-01-23,Lunch,Sabzi,381.47,57.22
2024-01-23,Lunch,Roti,381.47,45.78
2024-01-23,Snacks,Tea,220.1,33.02
2024-01-23,Snacks,Snack Item,220.1,22.01
2024-01-24,Breakfast,Rice/Upma,154.86,30.97
2024-01-24,Breakfast,Dal/Curry,154.86,23.23
2024-01-24,Breakfast,Bread,154.86,15.49
2024-01-24,Dinner,Rice,404.53,121.36
2024-01-24,Dinner,Dal,404.53,80.91
2024-01-24,Dinner,Sabzi,404.53,60.68
2024-01-24,Dinner,Roti,404.53,48.54
2024-01-24,Lunch,Rice,377.11,131.99
2024-01-24,Lunch,Dal,377.11,75.42
2024-01-24,Lunch,Sabzi,377.11,56.57
2024-01-24,Lunch,Roti,377.11,45.25
2024-01-24,Snacks,Tea,222.04,33.31
2024-01-24,Snacks,Snack Item,222.04,22.2
2024-01-25,Breakfast,Rice/Upma,162.32,32.46
2024-01-25,Breakfast,Dal/Curry,162.32,24.35
2024-01-25,Breakfast,Bread,162.32,16.23
2024-01-25,Dinner,Rice,406.41,121.92
2024-01-25,Dinner,Dal,406.41,81.28
2024-01-25,Dinner,Sabzi,406.41,60.96
2024-01-25,Dinner,Roti,406.41,48.77
2024-01-25,Lunch,Rice,393.31,137.66
2024-01-25,Lunch,Dal,393.31,78.66
2024-01-25,Lunch,Sabzi,393.31,59.0
2024-01-25,Lunch,Roti,393.31,47.2
2024-01-25,Snacks,Tea,216.03,32.4
2024-01-25,Snacks,Snack Item,216.03,21.6
2024-01-26,Breakfast,Rice/Upma,167.4,33.48
2024-01-26,Breakfast,Dal/Curry,167.4,25.11
2024-01-26,Breakfast,Bread,167.4,16.74
2024-01-26,Dinner,Rice,410.77,123.23
2024-01-26,Dinner,Dal,410.77,82.15
2024-01-26,Dinner,Sabzi,410.77,61.62
2024-01-26,Dinner,Roti,410.77,49.29
2024-01-26,Lunch,Rice,376.03,131.61
2024-01-26,Lunch,Dal,376.03,75.21
2024-01-26,Lunch,Sabzi,376.03,56.4
2024-01-26,Lunch,Roti,376.03,45.12
2024-01-26,Snacks,Tea,224.62,33.69
2024-01-26,Snacks,Snack Item,224.62,22.46
2024-01-27,Breakfast,Rice/Upma,182.36,36.47
2024-01-27,Breakfast,Dal/Curry,182.36,27.35
2024-01-27,Breakfast,Bread,182.36,18.24
2024-01-27,Dinner,Rice,403.46,121.04
2024-01-27,Dinner,Dal,403.46,80.69
2024-01-27,Dinner,Sabzi,403.46,60.52
2024-01-27,Dinner,Roti,403.46,48.42
2024-01-27,Lunch,Rice,386.37,135.23
2024-01-27,Lunch,Dal,386.37,77.27
2024-01-27,Lunch,Sabzi,386.37,57.96
2024-01-27,Lunch,Roti,386.37,46.36
2024-01-27,Snacks,Tea,225.87,33.88
2024-01-27,Snacks,Snack Item,225.87,22.59
2024-01-28,Breakfast,Rice/Upma,116.85,23.37
2024-01-28,Breakfast,Dal/Curry,116.85,17.53
2024-01-28,Breakfast,Bread,116.85,11.68
2024-01-28,Dinner,Rice,404.23,121.27
2024-01-28,Dinner,Dal,404.23,80.85
2024-01-28,Dinner,Sabzi,404.23,60.63
2024-01-28,Dinner,Roti,404.23,48.51
2024-01-28,Lunch,Rice,382.04,133.71
2024-01-28,Lunch,Dal,382.04,76.41
2024-01-28,Lunch,Sabzi,382.04,57.31
2024-01-28,Lunch,Roti,382.04,45.84
2024-01-28,Snacks,Tea,214.46,32.17
2024-01-28,Snacks,Snack Item,214.46,21.45
2024-01-29,Breakfast,Rice/Upma,182.97,36.59
2024-01-29,Breakfast,Dal/Curry,182.97,27.45
2024-01-29,Breakfast,Bread,182.97,18.3
2024-01-29,Dinner,Rice,415.38,124.61
2024-01-29,Dinner,Dal,415.38,83.08
2024-01-29,Dinner,Sabzi,415.38,62.31
2024-01-29,Dinner,Roti,415.38,49.85
2024-01-29,Lunch,Rice,378.16,132.36
2024-01-29,Lunch,Dal,378.16,75.63
2024-01-29,Lunch,Sabzi,378.16,56.72
2024-01-29,Lunch,Roti,378.16,45.38
2024-01-29,Snacks,Tea,214.7,32.2
2024-01-29,Snacks,Snack Item,214.7,21.47
2024-01-30,Breakfast,Rice/Upma,184.78,36.96
2024-01-30,Breakfast,Dal/Curry,184.78,27.72
2024-01-30,Breakfast,Bread,184.78,18.48
2024-01-30,Dinner,Rice,410.02,123.01
2024-01-30,Dinner,Dal,410.02,82.0
2024-01-30,Dinner,Sabzi,410.02,61.5
2024-01-30,Dinner,Roti,410.02,49.2
2024-01-30,Lunch,Rice,377.59,132.16
2024-01-30,Lunch,Dal,377.59,75.52
2024-01-30,Lunch,Sabzi,377.59,56.64
2024-01-30,Lunch,Roti,377.59,45.31
2024-01-30,Snacks,Tea,213.46,32.02
2024-01-30,Snacks,Snack Item,213.46,21.35
2024-01-31,Breakfast,Rice/Upma,171.53,34.31
2024-01-31,Breakfast,Dal/Curry,171.53,25.73
2024-01-31,Breakfast,Bread,171.53,17.15
2024-01-31,Dinner,Rice,404.79,121.44
2024-01-31,Dinner,Dal,404.79,80.96
2024-01-31,Dinner,Sabzi,404.79,60.72
2024-01-31,Dinner,Roti,404.79,48.57
2024-01-31,Lunch,Rice,380.41,133.14
2024-01-31,Lunch,Dal,380.41,76.08
2024-01-31,Lunch,Sabzi,380.41,57.06
2024-01-31,Lunch,Roti,380.41,45.65
2024-01-31,Snacks,Tea,218.65,32.8
2024-01-31,Snacks,Snack Item,218.65,21.86
2024-02-01,Breakfast,Rice/Upma,169.17,33.83
2024-02-01,Breakfast,Dal/Curry,169.17,25.38
2024-02-01,Breakfast,Bread,169.17,16.92
2024-02-01,Dinner,Rice,403.08,120.92
2024-02-01,Dinner,Dal,403.08,80.62
2024-02-01,Dinner,Sabzi,403.08,60.46
2024-02-01,Dinner,Roti,403.08,48.37
2024-02-01,Lunch,Rice,373.8,130.83
2024-02-01,Lunch,Dal,373.8,74.76
2024-02-01,Lunch,Sabzi,373.8,56.07
2024-02-01,Lunch,Roti,373.8,44.86
2024-02-01,Snacks,Tea,229.8,34.47
2024-02-01,Snacks,Snack Item,229.8,22.98
2024-02-02,Breakfast,Rice/Upma,157.48,31.5
2024-02-02,Breakfast,Dal/Curry,157.48,23.62
2024-02-02,Breakfast,Bread,157.48,15.75
2024-02-02,Dinner,Rice,407.84,122.35
2024-02-02,Dinner,Dal,407.84,81.57
2024-02-02,Dinner,Sabzi,407.84,61.18
2024-02-02,Dinner,Roti,407.84,48.94
2024-02-02,Lunch,Rice,374.97,131.24
2024-02-02,Lunch,Dal,374.97,74.99
2024-02-02,Lunch,Sabzi,374.97,56.25
2024-02-02,Lunch,Roti,374.97,45.0
2024-02-02,Snacks,Tea,222.05,33.31
2024-02-02,Snacks,Snack Item,222.05,22.2
2024-02-03,Breakfast,Rice/Upma,168.72,33.74
2024-02-03,Breakfast,Dal/Curry,168.72,25.31
2024-02-03,Breakfast,Bread,168.72,16.87
2024-02-03,Dinner,Rice,425.34,127.6
2024-02-03,Dinner,Dal,425.34,85.07
2024-02-03,Dinner,Sabzi,425.34,63.8
2024-02-03,Dinner,Roti,425.34,51.04
2024-02-03,Lunch,Rice,375.23,131.33
2024-02-03,Lunch,Dal,375.23,75.05
2024-02-03,Lunch,Sabzi,375.23,56.28
2024-02-03,Lunch,Roti,375.23,45.03
2024-02-03,Snacks,Tea,231.47,34.72
2024-02-03,Snacks,Snack Item,231.47,23.15
2024-02-04,Breakfast,Rice/Upma,111.54,22.31
2024-02-04,Breakfast,Dal/Curry,111.54,16.73
2024-02-04,Breakfast,Bread,111.54,11.15
2024-02-04,Dinner,Rice,403.43,121.03
2024-02-04,Dinner,Dal,403.43,80.69
2024-02-04,Dinner,Sabzi,403.43,60.51
2024-02-04,Dinner,Roti,403.43,48.41
2024-02-04,Lunch,Rice,378.97,132.64
2024-02-04,Lunch,Dal,378.97,75.79
2024-02-04,Lunch,Sabzi,378.97,56.85
2024-02-04,Lunch,Roti,378.97,45.48
2024-02-04,Snacks,Tea,228.58,34.29
2024-02-04,Snacks,Snack Item,228.58,22.86
2024-02-05,Breakfast,Rice/Upma,174.38,34.88
2024-02-05,Breakfast,Dal/Curry,174.38,26.16
2024-02-05,Breakfast,Bread,174.38,17.44
2024-02-05,Dinner,Rice,411.66,123.5
2024-02-05,Dinner,Dal,411.66,82.33
2024-02-05,Dinner,Sabzi,411.66,61.75
2024-02-05,Dinner,Roti,411.66,49.4
2024-02-05,Lunch,Rice,372.22,130.28
2024-02-05,Lunch,Dal,372.22,74.44
2024-02-05,Lunch,Sabzi,372.22,55.83
2024-02-05,Lunch,Roti,372.22,44.67
2024-02-05,Snacks,Tea,241.7,36.26
2024-02-05,Snacks,Snack Item,241.7,24.17
2024-02-06,Breakfast,Rice/Upma,180.44,36.09
2024-02-06,Breakfast,Dal/Curry,180.44,27.07
2024-02-06,Breakfast,Bread,180.44,18.04
2024-02-06,Dinner,Rice,412.03,123.61
2024-02-06,Dinner,Dal,412.03,82.41
2024-02-06,Dinner,Sabzi,412.03,61.8
2024-02-06,Dinner,Roti,412.03,49.44
2024-02-06,Lunch,Rice,368.63,129.02
2024-02-06,Lunch,Dal,368.63,73.73
2024-02-06,Lunch,Sabzi,368.63,55.29
2024-02-06,Lunch,Roti,368.63,44.24
2024-02-06,Snacks,Tea,225.8,33.87
2024-02-06,Snacks,Snack Item,225.8,22.58
2024-02-07,Breakfast,Rice/Upma,183.97,36.79
2024-02-07,Breakfast,Dal/Curry,183.97,27.6
2024-02-07,Breakfast,Bread,183.97,18.4
2024-02-07,Dinner,Rice,409.89,122.97
2024-02-07,Dinner,Dal,409.89,81.98
2024-02-07,Dinner,Sabzi,409.89,61.48
2024-02-07,Dinner,Roti,409.89,49.19
2024-02-07,Lunch,Rice,375.19,131.32
2024-02-07,Lunch,Dal,375.19,75.04
2024-02-07,Lunch,Sabzi,375.19,56.28
2024-02-07,Lunch,Roti,375.19,45.02
2024-02-07,Snacks,Tea,237.47,35.62
2024-02-07,Snacks,Snack Item,237.47,23.75
2024-02-08,Breakfast,Rice/Upma,181.8,36.36
2024-02-08,Breakfast,Dal/Curry,181.8,27.27
2024-02-08,Breakfast,Bread,181.8,18.18
2024-02-08,Dinner,Rice,418.66,125.6
2024-02-08,Dinner,Dal,418.66,83.73
2024-02-08,Dinner,Sabzi,418.66,62.8
2024-02-08,Dinner,Roti,418.66,50.24
2024-02-08,Lunch,Rice,375.53,131.44
2024-02-08,Lunch,Dal,375.53,75.11
2024-02-08,Lunch,Sabzi,375.53,56.33
2024-02-08,Lunch,Roti,375.53,45.06
2024-02-08,Snacks,Tea,234.4,35.16
2024-02-08,Snacks,Snack Item,234.4,23.44
2024-02-09,Breakfast,Rice/Upma,177.45,35.49
2024-02-09,Breakfast,Dal/Curry,177.45,26.62
2024-02-09,Breakfast,Bread,177.45,17.74
2024-02-09,Dinner,Rice,418.57,125.57
2024-02-09,Dinner,Dal,418.57,83.71
2024-02-09,Dinner,Sabzi,418.57,62.79
2024-02-09,Dinner,Roti,418.57,50.23
2024-02-09,Lunch,Rice,387.5,135.62
2024-02-09,Lunch,Dal,387.5,77.5
2024-02-09,Lunch,Sabzi,387.5,58.12
2024-02-09,Lunch,Roti,387.5,46.5
2024-02-09,Snacks,Tea,229.83,34.47
2024-02-09,Snacks,Snack Item,229.83,22.98
2024-02-10,Breakfast,Rice/Upma,177.49,35.5
2024-02-10,Breakfast,Dal/Curry,177.49,26.62
2024-02-10,Breakfast,Bread,177.49,17.75
2024-02-10,Dinner,Rice,410.18,123.05
2024-02-10,Dinner,Dal,410.18,82.04
2024-02-10,Dinner,Sabzi,410.18,61.53
2024-02-10,Dinner,Roti,410.18,49.22
2024-02-10,Lunch,Rice,379.04,132.66
2024-02-10,Lunch,Dal,379.04,75.81
2024-02-10,Lunch,Sabzi,379.04,56.86
2024-02-10,Lunch,Roti,379.04,45.48
2024-02-10,Snacks,Tea,226.96,34.04
2024-02-10,Snacks,Snack Item,226.96,22.7
2024-02-11,Breakfast,Rice/Upma,114.84,22.97
2024-02-11,Breakfast,Dal/Curry,114.84,17.23
2024-02-11,Breakfast,Bread,114.84,11.48
2024-02-11,Dinner,Rice,411.74,123.52
2024-02-11,Dinner,Dal,411.74,82.35
2024-02-11,Dinner,Sabzi,411.74,61.76
2024-02-11,Dinner,Roti,411.74,49.41
2024-02-11,Lunch,Rice,363.46,127.21
2024-02-11,Lunch,Dal,363.46,72.69
2024-02-11,Lunch,Sabzi,363.46,54.52
2024-02-11,Lunch,Roti,363.46,43.62
2024-02-11,Snacks,Tea,221.37,33.21
2024-02-11,Snacks,Snack Item,221.37,22.14
2024-02-12,Breakfast,Rice/Upma,178.22,35.64
2024-02-12,Breakfast,Dal/Curry,178.22,26.73
2024-02-12,Breakfast,Bread,178.22,17.82
2024-02-12,Dinner,Rice,405.82,121.75
