record_id,date,day_type,building,time_slot,consumption_kwh,meter_reading_kwh,is_exam_week,is_anomaly,month,rolling_3d_avg,anomaly_score,bld_enc,slot_enc,dow,predicted_anomaly
ELEC000049,2024-01-01,weekday,Labs Complex,12-14,1.664,4241.68,False,False,1,1.664,1.0,4,3,0,0
ELEC000050,2024-01-01,weekday,Labs Complex,14-16,1.867,4243.55,False,False,1,1.867,1.0,4,4,0,0
ELEC000051,2024-01-01,weekday,Labs Complex,16-18,1.701,4245.25,False,False,1,1.701,1.0,4,5,0,0
ELEC000052,2024-01-01,weekday,Labs Complex,18-20,1.409,4246.66,False,False,1,1.409,1.0,4,6,0,0
ELEC000053,2024-01-01,weekday,Labs Complex,20-22,1.176,4247.84,False,False,1,1.176,1.0,4,7,0,0
ELEC000054,2024-01-01,weekday,Labs Complex,22-00,0.461,4248.3,False,False,1,0.461,1.0,4,8,0,0
ELEC000055,2024-01-02,weekday,Academic Block A,06-08,0.921,1345.43,False,False,1,0.9465,0.9730586370839936,0,0,1,0
ELEC000056,2024-01-02,weekday,Academic Block A,08-10,3.083,1348.51,False,False,1,2.875,1.0723478260869566,0,1,1,0
ELEC000057,2024-01-02,weekday,Academic Block A,10-12,3.267,1351.78,False,False,1,3.4595,0.944356120826709,0,2,1,0
ELEC000058,2024-01-02,weekday,Academic Block A,12-14,2.594,1354.37,False,False,1,2.6915,0.963774846739736,0,3,1,0
ELEC000059,2024-01-02,weekday,Academic Block A,14-16,2.997,1357.37,False,False,1,2.946,1.0173116089613037,0,4,1,0
ELEC000060,2024-01-02,weekday,Academic Block A,16-18,2.704,1360.07,False,False,1,2.739,0.987221613727638,0,5,1,0
ELEC000061,2024-01-02,weekday,Academic Block A,18-20,2.578,1362.65,False,False,1,2.321,1.110728134424817,0,6,1,0
ELEC000062,2024-01-02,weekday,Academic Block A,20-22,1.738,1364.39,False,False,1,1.749,0.9937106918238992,0,7,1,0
ELEC000063,2024-01-02,weekday,Academic Block A,22-00,0.78,1365.17,False,False,1,0.792,0.9848484848484848,0,8,1,0
ELEC000064,2024-01-02,weekday,Academic Block B,06-08,0.901,4819.7,False,False,1,0.8835,1.019807583474816,1,0,1,0
ELEC000065,2024-01-02,weekday,Academic Block B,08-10,2.825,4822.52,False,False,1,2.699,1.046683957021119,1,1,1,0
ELEC000066,2024-01-02,weekday,Academic Block B,10-12,3.605,4826.12,False,False,1,3.412,1.0565650644783118,1,2,1,0
ELEC000067,2024-01-02,weekday,Academic Block B,12-14,2.586,4828.71,False,False,1,2.676,0.9663677130044842,1,3,1,0
ELEC000068,2024-01-02,weekday,Academic Block B,14-16,2.661,4831.37,False,False,1,2.9825,0.8922045264040235,1,4,1,0
ELEC000069,2024-01-02,weekday,Academic Block B,16-18,2.382,4833.75,False,False,1,2.52,0.9452380952380952,1,5,1,0
ELEC000070,2024-01-02,weekday,Academic Block B,18-20,2.427,4836.18,False,False,1,2.256,1.0757978723404251,1,6,1,0
ELEC000071,2024-01-02,weekday,Academic Block B,20-22,2.054,4838.23,False,False,1,1.9025,1.0796320630749014,1,7,1,0
ELEC000072,2024-01-02,weekday,Academic Block B,22-00,0.852,4839.08,False,False,1,0.75,1.136,1,8,1,0
ELEC000073,2024-01-02,weekday,Hostel Block 1,06-08,0.498,3462.38,False,False,1,0.4915,1.0132248219735505,2,0,1,0
ELEC000074,2024-01-02,weekday,Hostel Block 1,08-10,1.335,3463.72,False,False,1,1.454,0.9181568088033012,2,1,1,0
ELEC000075,2024-01-02,weekday,Hostel Block 1,10-12,1.592,3465.31,False,False,1,1.5495,1.0274282026460149,2,2,1,0
ELEC000076,2024-01-02,weekday,Hostel Block 1,12-14,1.359,3466.67,False,False,1,1.4935,0.9099430867090726,2,3,1,0
ELEC000077,2024-01-02,weekday,Hostel Block 1,14-16,1.595,3468.26,False,False,1,1.5665,1.018193424832429,2,4,1,0
ELEC000078,2024-01-02,weekday,Hostel Block 1,16-18,1.39,3469.65,False,False,1,1.2815,1.0846664065548186,2,5,1,0
ELEC000079,2024-01-02,weekday,Hostel Block 1,18-20,1.171,3470.82,False,False,1,1.1205,1.0450691655510933,2,6,1,0
ELEC000080,2024-01-02,weekday,Hostel Block 1,20-22,0.819,3471.64,False,False,1,0.835,0.9808383233532934,2,7,1,0
ELEC000081,2024-01-02,weekday,Hostel Block 1,22-00,0.435,3472.07,False,False,1,0.3994999999999999,1.0888610763454318,2,8,1,0
ELEC000082,2024-01-02,weekday,Hostel Block 2,06-08,0.45,3211.22,False,False,1,0.4375,1.0285714285714287,3,0,1,0
ELEC000083,2024-01-02,weekday,Hostel Block 2,08-10,1.301,3212.52,False,False,1,1.311,0.992372234935164,3,1,1,0
ELEC000084,2024-01-02,weekday,Hostel Block 2,10-12,2.005,3214.53,False,False,1,1.831,1.0950300382304752,3,2,1,0
ELEC000085,2024-01-02,weekday,Hostel Block 2,12-14,1.369,3215.9,False,False,1,1.4535,0.9418644650842792,3,3,1,0
ELEC000086,2024-01-02,weekday,Hostel Block 2,14-16,1.717,3217.62,False,False,1,1.6735,1.025993426949507,3,4,1,0
ELEC000087,2024-01-02,weekday,Hostel Block 2,16-18,1.428,3219.05,False,False,1,1.4075,1.0145648312611013,3,5,1,0
ELEC000088,2024-01-02,weekday,Hostel Block 2,18-20,1.212,3220.26,False,False,1,1.1865,1.0214917825537293,3,6,1,0
ELEC000089,2024-01-02,weekday,Hostel Block 2,20-22,0.855,3221.12,False,False,1,0.95,0.9,3,7,1,0
ELEC000090,2024-01-02,weekday,Hostel Block 2,22-00,0.426,3221.55,False,False,1,0.4415,0.9648924122310304,3,8,1,0
ELEC000091,2024-01-02,weekday,Library,06-08,0.545,1465.69,False,False,1,0.6165,0.884022708840227,5,0,1,0
ELEC000092,2024-01-02,weekday,Library,08-10,1.673,1467.36,False,False,1,1.604,1.043017456359102,5,1,1,0
ELEC000093,2024-01-02,weekday,Library,10-12,2.245,1469.6,False,False,1,2.2875,0.9814207650273225,5,2,1,0
ELEC000094,2024-01-02,weekday,Library,12-14,1.634,1471.23,False,False,1,1.8435,0.8863574721996202,5,3,1,0
ELEC000095,2024-01-02,weekday,Library,14-16,1.826,1473.06,False,False,1,1.7865000000000002,1.0221102714805486,5,4,1,0
ELEC000096,2024-01-02,weekday,Library,16-18,1.672,1474.73,False,False,1,1.6355,1.0223173341485785,5,5,1,0
ELEC000097,2024-01-02,weekday,Library,18-20,1.679,1476.41,False,False,1,1.6455000000000002,1.020358553631115,5,6,1,0
ELEC000098,2024-01-02,weekday,Library,20-22,1.033,1477.44,False,False,1,1.2054999999999998,0.8569058481957694,5,7,1,0
ELEC000099,2024-01-02,weekday,Library,22-00,0.47,1477.91,False,False,1,0.5065,0.9279368213228036,5,8,1,0
ELEC000100,2024-01-02,weekday,Labs Complex,06-08,0.55,4248.85,False,False,1,0.6194999999999999,0.887812752219532,4,0,1,0
ELEC000101,2024-01-02,weekday,Labs Complex,08-10,1.769,4250.62,False,False,1,1.8215,0.9711776008783968,4,1,1,0
ELEC000102,2024-01-02,weekday,Labs Complex,10-12,2.149,4252.77,False,False,1,2.0905,1.0279837359483377,4,2,1,0
ELEC000103,2024-01-02,weekday,Labs Complex,12-14,1.63,4254.4,False,False,1,1.6469999999999998,0.9896782027929568,4,3,1,0
ELEC000104,2024-01-02,weekday,Labs Complex,14-16,1.719,4256.12,False,False,1,1.793,0.958728388176241,4,4,1,0
ELEC000105,2024-01-02,weekday,Labs Complex,16-18,1.889,4258.01,False,False,1,1.795,1.052367688022284,4,5,1,0
ELEC000106,2024-01-02,weekday,Labs Complex,18-20,1.66,4259.67,False,False,1,1.5345,1.0817855979146302,4,6,1,0
ELEC000107,2024-01-02,weekday,Labs Complex,20-22,1.153,4260.82,False,False,1,1.1645,0.9901245169600688,4,7,1,0
ELEC000108,2024-01-02,weekday,Labs Complex,22-00,0.473,4261.29,False,False,1,0.4669999999999999,1.012847965738758,4,8,1,0
ELEC000109,2024-01-03,weekday,Academic Block A,06-08,0.979,1366.15,False,False,1,0.9573333333333331,1.022632311977716,0,0,2,0
ELEC000110,2024-01-03,weekday,Academic Block A,08-10,2.316,1368.47,False,False,1,2.6886666666666663,0.8613935035953385,0,1,2,0
ELEC000111,2024-01-03,weekday,Academic Block A,10-12,2.977,1371.45,False,False,1,3.298666666666667,0.9024858528698464,0,2,2,0
ELEC000112,2024-01-03,weekday,Academic Block A,12-14,2.825,1374.28,False,False,1,2.736,1.032529239766082,0,3,2,0
ELEC000113,2024-01-03,weekday,Academic Block A,14-16,2.828,1377.11,False,False,1,2.9066666666666663,0.9729357798165138,0,4,2,0
ELEC000114,2024-01-03,weekday,Academic Block A,16-18,2.23,1379.34,False,False,1,2.569333333333333,0.8679294239750909,0,5,2,0
ELEC000115,2024-01-03,weekday,Academic Block A,18-20,2.222,1381.56,False,False,1,2.288,0.9711538461538464,0,6,2,0
ELEC000116,2024-01-03,weekday,Academic Block A,20-22,1.917,1383.48,False,False,1,1.805,1.062049861495845,0,7,2,0
ELEC000117,2024-01-03,weekday,Academic Block A,22-00,0.706,1384.19,False,False,1,0.7633333333333333,0.9248908296943232,0,8,2,0
ELEC000118,2024-01-03,weekday,Academic Block B,06-08,0.805,4839.89,False,False,1,0.8573333333333334,0.9389580093312596,1,0,2,0
ELEC000119,2024-01-03,weekday,Academic Block B,08-10,3.025,4842.91,False,False,1,2.8076666666666665,1.0774070996082157,1,1,2,0
ELEC000120,2024-01-03,weekday,Academic Block B,10-12,2.994,4845.9,False,False,1,3.2726666666666664,0.9148502750050928,1,2,2,0
ELEC000121,2024-01-03,weekday,Academic Block B,12-14,3.012,4848.91,False,False,1,2.7880000000000003,1.0803443328550932,1,3,2,0
ELEC000122,2024-01-03,weekday,Academic Block B,14-16,3.022,4851.93,False,False,1,2.9956666666666667,1.0087904751307444,1,4,2,0
ELEC000123,2024-01-03,weekday,Academic Block B,16-18,2.682,4854.61,False,False,1,2.574,1.041958041958042,1,5,2,0
ELEC000124,2024-01-03,weekday,Academic Block B,18-20,2.442,4857.05,False,False,1,2.318,1.0534943917169974,1,6,2,0
ELEC000125,2024-01-03,weekday,Academic Block B,20-22,1.569,4858.62,False,False,1,1.7913333333333332,0.8758838853740231,1,7,2,0
ELEC000126,2024-01-03,weekday,Academic Block B,22-00,0.647,4859.27,False,False,1,0.7156666666666668,0.9040521658127618,1,8,2,0
ELEC000127,2024-01-03,weekday,Hostel Block 1,06-08,0.501,3472.57,False,False,1,0.4946666666666666,1.0128032345013478,2,0,2,0
ELEC000128,2024-01-03,weekday,Hostel Block 1,08-10,1.361,3473.93,False,False,1,1.423,0.9564300773014756,2,1,2,0
ELEC000129,2024-01-03,weekday,Hostel Block 1,10-12,1.581,3475.51,False,False,1,1.5599999999999998,1.0134615384615386,2,2,2,0
ELEC000130,2024-01-03,weekday,Hostel Block 1,12-14,1.551,3477.06,False,False,1,1.5126666666666668,1.02534156015866,2,3,2,0
ELEC000131,2024-01-03,weekday,Hostel Block 1,14-16,1.372,3478.43,False,False,1,1.5016666666666667,0.9136514983351832,2,4,2,0
ELEC000132,2024-01-03,weekday,Hostel Block 1,16-18,1.545,3479.97,False,False,1,1.3693333333333333,1.128286270691334,2,5,2,0
ELEC000133,2024-01-03,weekday,Hostel Block 1,18-20,1.355,3481.32,False,False,1,1.1986666666666668,1.1304226918798663,2,6,2,0
ELEC000134,2024-01-03,weekday,Hostel Block 1,20-22,0.878,3482.2,False,False,1,0.8493333333333334,1.0337519623233908,2,7,2,0
ELEC000135,2024-01-03,weekday,Hostel Block 1,22-00,0.363,3482.56,False,False,1,0.3873333333333333,0.9371772805507744,2,8,2,0
ELEC000136,2024-01-03,weekday,Hostel Block 2,06-08,0.52,3222.07,False,False,1,0.465,1.118279569892473,3,0,2,0
ELEC000137,2024-01-03,weekday,Hostel Block 2,08-10,1.619,3223.69,False,False,1,1.4136666666666666,1.145248762084414,3,1,2,0
ELEC000138,2024-01-03,weekday,Hostel Block 2,10-12,1.966,3225.66,False,False,1,1.876,1.0479744136460554,3,2,2,0
ELEC000139,2024-01-03,weekday,Hostel Block 2,12-14,1.445,3227.11,False,False,1,1.4506666666666668,0.99609375,3,3,2,0
ELEC000140,2024-01-03,weekday,Hostel Block 2,14-16,1.693,3228.8,False,False,1,1.68,1.0077380952380952,3,4,2,0
ELEC000141,2024-01-03,weekday,Hostel Block 2,16-18,1.555,3230.36,False,False,1,1.4566666666666668,1.0675057208237986,3,5,2,0
ELEC000142,2024-01-03,weekday,Hostel Block 2,18-20,1.348,3231.71,False,False,1,1.2403333333333333,1.08680462241333,3,6,2,0
ELEC000143,2024-01-03,weekday,Hostel Block 2,20-22,0.834,3232.54,False,False,1,0.9113333333333332,0.9151426481346012,3,7,2,0
ELEC000144,2024-01-03,weekday,Hostel Block 2,22-00,0.432,3232.97,False,False,1,0.4383333333333333,0.9855513307984792,3,8,2,0
ELEC000145,2024-01-03,weekday,Library,06-08,0.566,1478.48,False,False,1,0.5996666666666667,0.9438576987215118,5,0,2,0
ELEC000146,2024-01-03,weekday,Library,08-10,1.786,1480.27,False,False,1,1.6646666666666663,1.0728874649579496,5,1,2,0
ELEC000147,2024-01-03,weekday,Library,10-12,2.402,1482.67,False,False,1,2.3256666666666668,1.0328221298552387,5,2,2,0
ELEC000148,2024-01-03,weekday,Library,12-14,2.123,1484.79,False,False,1,1.9366666666666668,1.0962134251290878,5,3,2,0
ELEC000149,2024-01-03,weekday,Library,14-16,2.156,1486.95,False,False,1,1.9096666666666664,1.1289928434281726,5,4,2,0
ELEC000150,2024-01-03,weekday,Library,16-18,1.513,1488.46,False,False,1,1.594666666666667,0.9487876254180602,5,5,2,0
ELEC000151,2024-01-03,weekday,Library,18-20,1.514,1489.97,False,False,1,1.6016666666666666,0.9452653485952134,5,6,2,0
ELEC000152,2024-01-03,weekday,Library,20-22,1.061,1491.03,False,False,1,1.157333333333333,0.91676267281106,5,7,2,0
ELEC000153,2024-01-03,weekday,Library,22-00,0.444,1491.47,False,False,1,0.4856666666666667,0.914207275223061,5,8,2,0
ELEC000154,2024-01-03,weekday,Labs Complex,06-08,0.618,4261.91,False,False,1,0.619,0.9983844911147012,4,0,2,0
ELEC000155,2024-01-03,weekday,Labs Complex,08-10,1.739,4263.65,False,False,1,1.7939999999999998,0.9693422519509478,4,1,2,0
ELEC000156,2024-01-03,weekday,Labs Complex,10-12,2.25,4265.9,False,False,1,2.143666666666667,1.049603483128596,4,2,2,0
ELEC000157,2024-01-03,weekday,Labs Complex,12-14,2.184,4268.08,False,False,1,1.826,1.1960569550931,4,3,2,0
ELEC000158,2024-01-03,weekday,Labs Complex,14-16,1.809,4269.89,False,False,1,1.7983333333333331,1.0059314179796108,4,4,2,0
ELEC000159,2024-01-03,weekday,Labs Complex,16-18,1.935,4798.735,False,False,1,1.8416666666666668,1.0506787330316745,4,5,2,0
ELEC000160,2024-01-03,weekday,Labs Complex,18-20,1.636,4273.46,False,False,1,1.5683333333333334,1.043145589798087,4,6,2,0
ELEC000161,2024-01-03,weekday,Labs Complex,20-22,1.104,4274.56,False,False,1,1.1443333333333332,0.9647538595980194,4,7,2,0
ELEC000162,2024-01-03,weekday,Labs Complex,22-00,0.575,4275.14,False,False,1,0.503,1.1431411530815108,4,8,2,0
ELEC000163,2024-01-04,weekday,Academic Block A,06-08,0.849,1385.04,False,False,1,0.9163333333333332,0.926518734085122,0,0,3,0
ELEC000164,2024-01-04,weekday,Academic Block A,08-10,2.354,1387.39,False,False,1,2.5843333333333334,0.9108732103701792,0,1,3,0
ELEC000165,2024-01-04,weekday,Academic Block A,10-12,2.995,1390.38,False,False,1,3.0796666666666668,0.9725078471696073,0,2,3,0
ELEC000166,2024-01-04,weekday,Academic Block A,12-14,3.135,1393.52,False,False,1,2.8513333333333333,1.0994856207622166,0,3,3,0
ELEC000167,2024-01-04,weekday,Academic Block A,14-16,2.619,1396.14,False,False,1,2.814666666666667,0.930483183325438,0,4,3,0
ELEC000168,2024-01-04,weekday,Academic Block A,16-18,2.869,1399.01,False,False,1,2.6010000000000004,1.103037293348712,0,5,3,0
ELEC000169,2024-01-04,weekday,Academic Block A,18-20,1.951,1400.96,False,False,1,2.2503333333333333,0.8669826692341875,0,6,3,0
ELEC000170,2024-01-04,weekday,Academic Block A,20-22,1.53,1402.49,False,False,1,1.7283333333333335,0.8852459016393442,0,7,3,0
ELEC000171,2024-01-04,weekday,Academic Block A,22-00,0.679,1403.17,False,False,1,0.7216666666666667,0.940877598152425,0,8,3,0
ELEC000172,2024-01-04,weekday,Academic Block B,06-08,0.955,4860.23,False,False,1,0.887,1.076662908680947,1,0,3,0
ELEC000173,2024-01-04,weekday,Academic Block B,08-10,3.105,4863.33,False,False,1,2.985,1.0402010050251256,1,1,3,0
ELEC000174,2024-01-04,weekday,Academic Block B,10-12,3.315,4866.64,False,False,1,3.3046666666666678,1.0031268912648776,1,2,3,0
ELEC000175,2024-01-04,weekday,Academic Block B,12-14,2.66,4869.3,False,False,1,2.7526666666666664,0.9663356744974572,1,3,3,0
ELEC000176,2024-01-04,weekday,Academic Block B,14-16,3.404,4872.7,False,False,1,3.029,1.1238032353912182,1,4,3,0
ELEC000177,2024-01-04,weekday,Academic Block B,16-18,2.723,4875.42,False,False,1,2.595666666666667,1.0490561191729806,1,5,3,0
ELEC000178,2024-01-04,weekday,Academic Block B,18-20,2.351,4877.77,False,False,1,2.4066666666666667,0.9768698060941828,1,6,3,0
ELEC000179,2024-01-04,weekday,Academic Block B,20-22,1.8,5630.25,False,False,1,1.8076666666666668,0.9957588050894338,1,7,3,0
ELEC000180,2024-01-04,weekday,Academic Block B,22-00,0.832,4880.4,False,False,1,0.777,1.0707850707850708,1,8,3,0
ELEC000181,2024-01-04,weekday,Hostel Block 1,06-08,0.426,3899.35,False,False,1,0.475,0.8968421052631578,2,0,3,0
ELEC000182,2024-01-04,weekday,Hostel Block 1,08-10,1.377,3484.36,False,False,1,1.3576666666666668,1.014240117849251,2,1,3,0
ELEC000183,2024-01-04,weekday,Hostel Block 1,10-12,1.692,3486.05,False,False,1,1.6216666666666668,1.0433710174717368,2,2,3,0
ELEC000184,2024-01-04,weekday,Hostel Block 1,12-14,1.685,3487.74,False,False,1,1.5316666666666665,1.100108813928183,2,3,3,0
ELEC000185,2024-01-04,weekday,Hostel Block 1,14-16,1.825,3489.56,False,False,1,1.5973333333333333,1.1425292153589317,2,4,3,0
ELEC000186,2024-01-04,weekday,Hostel Block 1,16-18,1.423,3490.98,False,False,1,1.4526666666666666,0.979577787976136,2,5,3,0
ELEC000187,2024-01-04,weekday,Hostel Block 1,18-20,1.127,3492.11,False,False,1,1.2176666666666665,0.9255406515192992,2,6,3,0
ELEC000188,2024-01-04,weekday,Hostel Block 1,20-22,0.886,3493.0,False,False,1,0.8610000000000001,1.0290360046457607,2,7,3,0
ELEC000189,2024-01-04,weekday,Hostel Block 1,22-00,0.38,3493.38,False,False,1,0.3926666666666666,0.967741935483871,2,8,3,0
ELEC000190,2024-01-04,weekday,Hostel Block 2,06-08,0.457,3233.43,False,False,1,0.4756666666666667,0.9607568325157674,3,0,3,0
ELEC000191,2024-01-04,weekday,Hostel Block 2,08-10,1.61,3235.04,False,False,1,1.51,1.066225165562914,3,1,3,0
ELEC000192,2024-01-04,weekday,Hostel Block 2,10-12,1.876,3236.92,False,False,1,1.949,0.9625448948178552,3,2,3,0
ELEC000193,2024-01-04,weekday,Hostel Block 2,12-14,1.486,3238.41,False,False,1,1.4333333333333331,1.0367441860465116,3,3,3,0
ELEC000194,2024-01-04,weekday,Hostel Block 2,14-16,1.735,3240.14,False,False,1,1.715,1.0116618075801749,3,4,3,0
ELEC000195,2024-01-04,weekday,Hostel Block 2,16-18,1.449,3241.59,False,False,1,1.4773333333333334,0.9808212996389892,3,5,3,0
ELEC000196,2024-01-04,weekday,Hostel Block 2,18-20,1.361,3242.95,False,False,1,1.3070000000000002,1.0413159908186689,3,6,3,0
ELEC000197,2024-01-04,weekday,Hostel Block 2,20-22,0.929,3243.88,False,False,1,0.8726666666666666,1.0645530939648589,3,7,3,0
ELEC000198,2024-01-04,weekday,Hostel Block 2,22-00,0.456,3244.34,False,False,1,0.438,1.0410958904109588,3,8,3,0
ELEC000199,2024-01-04,weekday,Library,06-08,0.573,1492.04,False,False,1,0.5613333333333334,1.0207838479809974,5,0,3,0
ELEC000200,2024-01-04,weekday,Library,08-10,1.992,1494.03,False,False,1,1.817,1.096312603192075,5,1,3,0
ELEC000201,2024-01-04,weekday,Library,10-12,2.117,1496.15,False,False,1,2.2546666666666666,0.9389414547604968,5,2,3,0
ELEC000202,2024-01-04,weekday,Library,12-14,1.966,1498.12,False,False,1,1.9076666666666664,1.030578367988817,5,3,3,0
ELEC000203,2024-01-04,weekday,Library,14-16,1.851,1499.97,False,False,1,1.9443333333333332,0.9519972569861134,5,4,3,0
ELEC000204,2024-01-04,weekday,Library,16-18,1.724,1501.69,False,False,1,1.6363333333333332,1.0535750662049297,5,5,3,0
ELEC000205,2024-01-04,weekday,Library,18-20,1.293,1502.98,False,False,1,1.4953333333333332,0.8646901471243871,5,6,3,0
ELEC000206,2024-01-04,weekday,Library,20-22,1.285,1504.27,False,False,1,1.1263333333333332,1.1408700799052975,5,7,3,0
ELEC000207,2024-01-04,weekday,Library,22-00,0.455,1504.72,False,False,1,0.4563333333333333,0.9970781592403216,5,8,3,0
ELEC000208,2024-01-04,weekday,Labs Complex,06-08,0.51,4275.65,False,False,1,0.5593333333333333,0.9117997616209772,4,0,3,0
ELEC000209,2024-01-04,weekday,Labs Complex,08-10,1.834,4277.48,False,False,1,1.7806666666666668,1.0299513290902282,4,1,3,0
ELEC000210,2024-01-04,weekday,Labs Complex,10-12,2.516,4280.0,False,False,1,2.305,1.0915401301518437,4,2,3,0
