record_id,date,day_type,building,time_slot,consumption_kwh,meter_reading_kwh,is_exam_week,is_anomaly,month
ELEC000030,2024-01-01,weekday,Hostel Block 2,10-12,1.657,3203.54,False,False,January
ELEC000031,2024-01-01,weekday,Hostel Block 2,12-14,1.538,3205.08,False,False,January
ELEC000032,2024-01-01,weekday,Hostel Block 2,14-16,1.63,3206.71,False,False,January
ELEC000033,2024-01-01,weekday,Hostel Block 2,16-18,1.387,3208.1,False,False,January
ELEC000034,2024-01-01,weekday,Hostel Block 2,18-20,1.161,3209.26,False,False,January
ELEC000035,2024-01-01,weekday,Hostel Block 2,20-22,1.045,3210.31,False,False,January
ELEC000036,2024-01-01,weekday,Hostel Block 2,22-00,0.457,3210.77,False,False,January
ELEC000037,2024-01-01,weekday,Library,06-08,0.688,1452.34,False,False,January
ELEC000038,2024-01-01,weekday,Library,08-10,1.535,1453.88,False,False,January
ELEC000039,2024-01-01,weekday,Library,10-12,2.33,1456.21,False,False,January
ELEC000040,2024-01-01,weekday,Library,12-14,2.053,1458.26,False,False,January
ELEC000041,2024-01-01,weekday,Library,14-16,1.747,1460.01,False,False,January
ELEC000042,2024-01-01,weekday,Library,16-18,1.599,1461.61,False,False,January
ELEC000043,2024-01-01,weekday,Library,18-20,1.612,1463.22,False,False,January
ELEC000044,2024-01-01,weekday,Library,20-22,1.378,1464.6,False,False,January
ELEC000045,2024-01-01,weekday,Library,22-00,0.543,1465.14,False,False,January
ELEC000046,2024-01-01,weekday,Labs Complex,06-08,0.689,4236.12,False,False,January
ELEC000047,2024-01-01,weekday,Labs Complex,08-10,1.874,4237.99,False,False,January
ELEC000048,2024-01-01,weekday,Labs Complex,10-12,2.032,4240.02,False,False,January
ELEC000049,2024-01-01,weekday,Labs Complex,12-14,1.664,4241.68,False,False,January
ELEC000050,2024-01-01,weekday,Labs Complex,14-16,1.867,4243.55,False,False,January
ELEC000051,2024-01-01,weekday,Labs Complex,16-18,1.701,4245.25,False,False,January
ELEC000052,2024-01-01,weekday,Labs Complex,18-20,1.409,4246.66,False,False,January
ELEC000053,2024-01-01,weekday,Labs Complex,20-22,1.176,4247.84,False,False,January
ELEC000054,2024-01-01,weekday,Labs Complex,22-00,0.461,4248.3,False,False,January
ELEC000055,2024-01-02,weekday,Academic Block A,06-08,0.921,1345.43,False,False,January
ELEC000056,2024-01-02,weekday,Academic Block A,08-10,3.083,1348.51,False,False,January
ELEC000057,2024-01-02,weekday,Academic Block A,10-12,3.267,1351.78,False,False,January
ELEC000058,2024-01-02,weekday,Academic Block A,12-14,2.594,1354.37,False,False,January
ELEC000059,2024-01-02,weekday,Academic Block A,14-16,2.997,1357.37,False,False,January
ELEC000060,2024-01-02,weekday,Academic Block A,16-18,2.704,1360.07,False,False,January
ELEC000061,2024-01-02,weekday,Academic Block A,18-20,2.578,1362.65,False,False,January
ELEC000062,2024-01-02,weekday,Academic Block A,20-22,1.738,1364.39,False,False,January
ELEC000063,2024-01-02,weekday,Academic Block A,22-00,0.78,1365.17,False,False,January
ELEC000064,2024-01-02,weekday,Academic Block B,06-08,0.901,4819.7,False,False,January
ELEC000065,2024-01-02,weekday,Academic Block B,08-10,2.825,4822.52,False,False,January
ELEC000066,2024-01-02,weekday,Academic Block B,10-12,3.605,4826.12,False,False,January
ELEC000067,2024-01-02,weekday,Academic Block B,12-14,2.586,4828.71,False,False,January
ELEC000068,2024-01-02,weekday,Academic Block B,14-16,2.661,4831.37,False,False,January
ELEC000069,2024-01-02,weekday,Academic Block B,16-18,2.382,4833.75,False,False,January
ELEC000070,2024-01-02,weekday,Academic Block B,18-20,2.427,4836.18,False,False,January
ELEC000071,2024-01-02,weekday,Academic Block B,20-22,2.054,4838.23,False,False,January
ELEC000072,2024-01-02,weekday,Academic Block B,22-00,0.852,4839.08,False,False,January
ELEC000073,2024-01-02,weekday,Hostel Block 1,06-08,0.498,3462.38,False,False,January
ELEC000074,2024-01-02,weekday,Hostel Block 1,08-10,1.335,3463.72,False,False,January
ELEC000075,2024-01-02,weekday,Hostel Block 1,10-12,1.592,3465.31,False,False,January
ELEC000076,2024-01-02,weekday,Hostel Block 1,12-14,1.359,3466.67,False,False,January
ELEC000077,2024-01-02,weekday,Hostel Block 1,14-16,1.595,3468.26,False,False,January
ELEC000078,2024-01-02,weekday,Hostel Block 1,16-18,1.39,3469.65,False,False,January
ELEC000079,2024-01-02,weekday,Hostel Block 1,18-20,1.171,3470.82,False,False,January
ELEC000080,2024-01-02,weekday,Hostel Block 1,20-22,0.819,3471.64,False,False,January
ELEC000081,2024-01-02,weekday,Hostel Block 1,22-00,0.435,3472.07,False,False,January
ELEC000082,2024-01-02,weekday,Hostel Block 2,06-08,0.45,3211.22,False,False,January
ELEC000083,2024-01-02,weekday,Hostel Block 2,08-10,1.301,3212.52,False,False,January
ELEC000084,2024-01-02,weekday,Hostel Block 2,10-12,2.005,3214.53,False,False,January
ELEC000085,2024-01-02,weekday,Hostel Block 2,12-14,1.369,3215.9,False,False,January
ELEC000086,2024-01-02,weekday,Hostel Block 2,14-16,1.717,3217.62,False,False,January
ELEC000087,2024-01-02,weekday,Hostel Block 2,16-18,1.428,3219.05,False,False,January
ELEC000088,2024-01-02,weekday,Hostel Block 2,18-20,1.212,3220.26,False,False,January
ELEC000089,2024-01-02,weekday,Hostel Block 2,20-22,0.855,3221.12,False,False,January
ELEC000090,2024-01-02,weekday,Hostel Block 2,22-00,0.426,3221.55,False,False,January
ELEC000091,2024-01-02,weekday,Library,06-08,0.545,1465.69,False,False,January
ELEC000092,2024-01-02,weekday,Library,08-10,1.673,1467.36,False,False,January
ELEC000093,2024-01-02,weekday,Library,10-12,2.245,1469.6,False,False,January
ELEC000094,2024-01-02,weekday,Library,12-14,1.634,1471.23,False,False,January
ELEC000095,2024-01-02,weekday,Library,14-16,1.826,1473.06,False,False,January
ELEC000096,2024-01-02,weekday,Library,16-18,1.672,1474.73,False,False,January
ELEC000097,2024-01-02,weekday,Library,18-20,1.679,1476.41,False,False,January
ELEC000098,2024-01-02,weekday,Library,20-22,1.033,1477.44,False,False,January
ELEC000099,2024-01-02,weekday,Library,22-00,0.47,1477.91,False,False,January
ELEC000100,2024-01-02,weekday,Labs Complex,06-08,0.55,4248.85,False,False,January
ELEC000101,2024-01-02,weekday,Labs Complex,08-10,1.769,4250.62,False,False,January
ELEC000102,2024-01-02,weekday,Labs Complex,10-12,2.149,4252.77,False,False,January
ELEC000103,2024-01-02,weekday,Labs Complex,12-14,1.63,4254.4,False,False,January
ELEC000104,2024-01-02,weekday,Labs Complex,14-16,1.719,4256.12,False,False,January
ELEC000105,2024-01-02,weekday,Labs Complex,16-18,1.889,4258.01,False,False,January
ELEC000106,2024-01-02,weekday,Labs Complex,18-20,1.66,4259.67,False,False,January
ELEC000107,2024-01-02,weekday,Labs Complex,20-22,1.153,4260.82,False,False,January
ELEC000108,2024-01-02,weekday,Labs Complex,22-00,0.473,4261.29,False,False,January
ELEC000109,2024-01-03,weekday,Academic Block A,06-08,0.979,1366.15,False,False,January
ELEC000110,2024-01-03,weekday,Academic Block A,08-10,2.316,1368.47,False,False,January
ELEC000111,2024-01-03,weekday,Academic Block A,10-12,2.977,1371.45,False,False,January
ELEC000112,2024-01-03,weekday,Academic Block A,12-14,2.825,1374.28,False,False,January
ELEC000113,2024-01-03,weekday,Academic Block A,14-16,2.828,1377.11,False,False,January
ELEC000114,2024-01-03,weekday,Academic Block A,16-18,2.23,1379.34,False,False,January
ELEC000115,2024-01-03,weekday,Academic Block A,18-20,2.222,1381.56,False,False,January
ELEC000116,2024-01-03,weekday,Academic Block A,20-22,1.917,1383.48,False,False,January
ELEC000117,2024-01-03,weekday,Academic Block A,22-00,0.706,1384.19,False,False,January
ELEC000118,2024-01-03,weekday,Academic Block B,06-08,0.805,4839.89,False,False,January
ELEC000119,2024-01-03,weekday,Academic Block B,08-10,3.025,4842.91,False,False,January
ELEC000120,2024-01-03,weekday,Academic Block B,10-12,2.994,4845.9,False,False,January
ELEC000121,2024-01-03,weekday,Academic Block B,12-14,3.012,4848.91,False,False,January
ELEC000122,2024-01-03,weekday,Academic Block B,14-16,3.022,4851.93,False,False,January
ELEC000123,2024-01-03,weekday,Academic Block B,16-18,2.682,4854.61,False,False,January
ELEC000124,2024-01-03,weekday,Academic Block B,18-20,2.442,4857.05,False,False,January
ELEC000125,2024-01-03,weekday,Academic Block B,20-22,1.569,4858.62,False,False,January
ELEC000126,2024-01-03,weekday,Academic Block B,22-00,0.647,4859.27,False,False,January
ELEC000127,2024-01-03,weekday,Hostel Block 1,06-08,0.501,3472.57,False,False,January
ELEC000128,2024-01-03,weekday,Hostel Block 1,08-10,1.361,3473.93,False,False,January
ELEC000129,2024-01-03,weekday,Hostel Block 1,10-12,1.581,3475.51,False,False,January
ELEC000130,2024-01-03,weekday,Hostel Block 1,12-14,1.551,3477.06,False,False,January
ELEC000131,2024-01-03,weekday,Hostel Block 1,14-16,1.372,3478.43,False,False,January
ELEC000132,2024-01-03,weekday,Hostel Block 1,16-18,1.545,3479.97,False,False,January
ELEC000133,2024-01-03,weekday,Hostel Block 1,18-20,1.355,3481.32,False,False,January
ELEC000134,2024-01-03,weekday,Hostel Block 1,20-22,0.878,3482.2,False,False,January
ELEC000135,2024-01-03,weekday,Hostel Block 1,22-00,0.363,3482.56,False,False,January
ELEC000136,2024-01-03,weekday,Hostel Block 2,06-08,0.52,3222.07,False,False,January
ELEC000137,2024-01-03,weekday,Hostel Block 2,08-10,1.619,3223.69,False,False,January
ELEC000138,2024-01-03,weekday,Hostel Block 2,10-12,1.966,3225.66,False,False,January
ELEC000139,2024-01-03,weekday,Hostel Block 2,12-14,1.445,3227.11,False,False,January
ELEC000140,2024-01-03,weekday,Hostel Block 2,14-16,1.693,3228.8,False,False,January
ELEC000141,2024-01-03,weekday,Hostel Block 2,16-18,1.555,3230.36,False,False,January
ELEC000142,2024-01-03,weekday,Hostel Block 2,18-20,1.348,3231.71,False,False,January
ELEC000143,2024-01-03,weekday,Hostel Block 2,20-22,0.834,3232.54,False,False,January
ELEC000144,2024-01-03,weekday,Hostel Block 2,22-00,0.432,3232.97,False,False,January
ELEC000145,2024-01-03,weekday,Library,06-08,0.566,1478.48,False,False,January
ELEC000146,2024-01-03,weekday,Library,08-10,1.786,1480.27,False,False,January
ELEC000147,2024-01-03,weekday,Library,10-12,2.402,1482.67,False,False,January
ELEC000148,2024-01-03,weekday,Library,12-14,2.123,1484.79,False,False,January
ELEC000149,2024-01-03,weekday,Library,14-16,2.156,1486.95,False,False,January
ELEC000150,2024-01-03,weekday,Library,16-18,1.513,1488.46,False,False,January
ELEC000151,2024-01-03,weekday,Library,18-20,1.514,1489.97,False,False,January
ELEC000152,2024-01-03,weekday,Library,20-22,1.061,1491.03,False,False,January
ELEC000153,2024-01-03,weekday,Library,22-00,0.444,1491.47,False,False,January
ELEC000154,2024-01-03,weekday,Labs Complex,06-08,0.618,4261.91,False,False,January
ELEC000155,2024-01-03,weekday,Labs Complex,08-10,1.739,4263.65,False,False,January
ELEC000156,2024-01-03,weekday,Labs Complex,10-12,2.25,4265.9,False,False,January
ELEC000157,2024-01-03,weekday,Labs Complex,12-14,2.184,4268.08,False,False,January
ELEC000158,2024-01-03,weekday,Labs Complex,14-16,1.809,4269.89,False,False,January
ELEC000159,2024-01-03,weekday,Labs Complex,16-18,1.935,,False,False,January
ELEC000160,2024-01-03,weekday,Labs Complex,18-20,1.636,4273.46,False,False,January
ELEC000161,2024-01-03,weekday,Labs Complex,20-22,1.104,4274.56,False,False,January
ELEC000162,2024-01-03,weekday,Labs Complex,22-00,0.575,4275.14,False,False,January
ELEC000163,2024-01-04,weekday,Academic Block A,06-08,0.849,1385.04,False,False,January
ELEC000164,2024-01-04,weekday,Academic Block A,08-10,2.354,1387.39,False,False,January
ELEC000165,2024-01-04,weekday,Academic Block A,10-12,2.995,1390.38,False,False,January
ELEC000166,2024-01-04,weekday,Academic Block A,12-14,3.135,1393.52,False,False,January
ELEC000167,2024-01-04,weekday,Academic Block A,14-16,2.619,1396.14,False,False,January
ELEC000168,2024-01-04,weekday,Academic Block A,16-18,2.869,1399.01,False,False,January
ELEC000169,2024-01-04,weekday,Academic Block A,18-20,1.951,1400.96,False,False,January
ELEC000170,2024-01-04,weekday,Academic Block A,20-22,1.53,1402.49,False,False,January
ELEC000171,2024-01-04,weekday,Academic Block A,22-00,0.679,1403.17,False,False,January
ELEC000172,2024-01-04,weekday,Academic Block B,06-08,0.955,4860.23,False,False,January
ELEC000173,2024-01-04,weekday,Academic Block B,08-10,3.105,4863.33,False,False,January
ELEC000174,2024-01-04,weekday,Academic Block B,10-12,3.315,4866.64,False,False,January
ELEC000175,2024-01-04,weekday,Academic Block B,12-14,2.66,4869.3,False,False,January
ELEC000176,2024-01-04,weekday,Academic Block B,14-16,3.404,4872.7,False,False,January
ELEC000177,2024-01-04,weekday,Academic Block B,16-18,2.723,4875.42,False,False,January
ELEC000178,2024-01-04,weekday,Academic Block B,18-20,2.351,4877.77,False,False,January
ELEC000179,2024-01-04,weekday,Academic Block B,20-22,1.8,,False,False,January
ELEC000180,2024-01-04,weekday,Academic Block B,22-00,0.832,4880.4,False,False,January
ELEC000181,2024-01-04,weekday,Hostel Block 1,06-08,0.426,,False,False,January
ELEC000182,2024-01-04,weekday,Hostel Block 1,08-10,1.377,3484.36,False,False,January
ELEC000183,2024-01-04,weekday,Hostel Block 1,10-12,1.692,3486.05,False,False,January
ELEC000184,2024-01-04,weekday,Hostel Block 1,12-14,1.685,3487.74,False,False,January
ELEC000185,2024-01-04,weekday,Hostel Block 1,14-16,1.825,3489.56,False,False,January
ELEC000186,2024-01-04,weekday,Hostel Block 1,16-18,1.423,3490.98,False,False,January
ELEC000187,2024-01-04,weekday,Hostel Block 1,18-20,1.127,3492.11,False,False,January
ELEC000188,2024-01-04,weekday,Hostel Block 1,20-22,0.886,3493.0,False,False,January
ELEC000189,2024-01-04,weekday,Hostel Block 1,22-00,0.38,3493.38,False,False,January
ELEC000190,2024-01-04,weekday,Hostel Block 2,06-08,0.457,3233.43,False,False,January
ELEC000191,2024-01-04,weekday,Hostel Block 2,08-10,1.61,3235.04,False,False,January
ELEC000192,2024-01-04,weekday,Hostel Block 2,10-12,1.876,3236.92,False,False,January
ELEC000193,2024-01-04,weekday,Hostel Block 2,12-14,1.486,3238.41,False,False,January
ELEC000194,2024-01-04,weekday,Hostel Block 2,14-16,1.735,3240.14,False,False,January
ELEC000195,2024-01-04,weekday,Hostel Block 2,16-18,1.449,3241.59,False,False,January
ELEC000196,2024-01-04,weekday,Hostel Block 2,18-20,1.361,3242.95,False,False,January
ELEC000197,2024-01-04,weekday,Hostel Block 2,20-22,0.929,3243.88,False,False,January
ELEC000198,2024-01-04,weekday,Hostel Block 2,22-00,0.456,3244.34,False,False,January
ELEC000199,2024-01-04,weekday,Library,06-08,0.573,1492.04,False,False,January
ELEC000200,2024-01-04,weekday,Library,08-10,1.992,1494.03,False,False,January
ELEC000201,2024-01-04,weekday,Library,10-12,2.117,1496.15,False,False,January
ELEC000202,2024-01-04,weekday,Library,12-14,1.966,1498.12,False,False,January
ELEC000203,2024-01-04,weekday,Library,14-16,1.851,1499.97,False,False,January
ELEC000204,2024-01-04,weekday,Library,16-18,1.724,1501.69,False,False,January
ELEC000205,2024-01-04,weekday,Library,18-20,1.293,1502.98,False,False,January
ELEC000206,2024-01-04,weekday,Library,20-22,1.285,1504.27,False,False,January
ELEC000207,2024-01-04,weekday,Library,22-00,0.455,1504.72,False,False,January
ELEC000208,2024-01-04,weekday,Labs Complex,06-08,0.51,4275.65,False,False,January
ELEC000209,2024-01-04,weekday,Labs Complex,08-10,1.834,4277.48,False,False,January
ELEC000210,2024-01-04,weekday,Labs Complex,10-12,2.516,4280.0,False,False,January
ELEC000211,2024-01-04,weekday,Labs Complex,12-14,2.079,4282.08,False,False,January
ELEC000212,2024-01-04,weekday,Labs Complex,14-16,1.789,4283.87,False,False,January
ELEC000213,2024-01-04,weekday,Labs Complex,16-18,1.804,4285.67,False,False,January
ELEC000214,2024-01-04,weekday,Labs Complex,18-20,1.353,4287.02,False,False,January
ELEC000215,2024-01-04,weekday,Labs Complex,20-22,1.251,4288.27,False,False,January
ELEC000216,2024-01-04,weekday,Labs Complex,22-00,0.501,4288.77,False,False,January
ELEC000217,2024-01-05,weekday,Academic Block A,06-08,0.944,1404.11,False,False,January
ELEC000218,2024-01-05,weekday,Academic Block A,08-10,2.915,1407.02,False,False,January
ELEC000219,2024-01-05,weekday,Academic Block A,10-12,3.378,1410.4,False,False,January
ELEC000220,2024-01-05,weekday,Academic Block A,12-14,2.913,1413.31,False,False,January
ELEC000221,2024-01-05,weekday,Academic Block A,14-16,2.6,1415.91,False,False,January
ELEC000222,2024-01-05,weekday,Academic Block A,16-18,2.471,1418.38,False,False,January
ELEC000223,2024-01-05,weekday,Academic Block A,18-20,2.11,1420.49,False,False,January
ELEC000224,2024-01-05,weekday,Academic Block A,20-22,1.854,1422.34,False,False,January
ELEC000225,2024-01-05,weekday,Academic Block A,22-00,0.67,1423.01,False,False,January
ELEC000226,2024-01-05,weekday,Academic Block B,06-08,1.024,4881.42,False,False,January
ELEC000227,2024-01-05,weekday,Academic Block B,08-10,2.863,4884.28,False,False,January
ELEC000228,2024-01-05,weekday,Academic Block B,10-12,3.599,4887.88,False,False,January
ELEC000229,2024-01-05,weekday,Academic Block B,12-14,2.807,4890.69,False,False,January
ELEC000230,2024-01-05,weekday,Academic Block B,14-16,3.047,4893.74,False,False,January
ELEC000231,2024-01-05,weekday,Academic Block B,16-18,2.311,4896.05,False,False,January
ELEC000232,2024-01-05,weekday,Academic Block B,18-20,2.293,4898.34,False,False,January
ELEC000233,2024-01-05,weekday,Academic Block B,20-22,1.68,4900.02,False,False,January
ELEC000234,2024-01-05,weekday,Academic Block B,22-00,0.638,4900.66,False,False,January
ELEC000235,2024-01-05,weekday,Hostel Block 1,06-08,0.433,3493.81,False,False,January
ELEC000236,2024-01-05,weekday,Hostel Block 1,08-10,1.482,3495.29,False,False,January
ELEC000237,2024-01-05,weekday,Hostel Block 1,10-12,1.664,3496.95,False,False,January
ELEC000238,2024-01-05,weekday,Hostel Block 1,12-14,1.513,3498.46,False,False,January
ELEC000239,2024-01-05,weekday,Hostel Block 1,14-16,1.591,3500.05,False,False,January
ELEC000240,2024-01-05,weekday,Hostel Block 1,16-18,1.449,3501.5,False,False,January
ELEC000241,2024-01-05,weekday,Hostel Block 1,18-20,1.321,3502.82,False,False,January
ELEC000242,2024-01-05,weekday,Hostel Block 1,20-22,0.94,3503.76,False,False,January
ELEC000243,2024-01-05,weekday,Hostel Block 1,22-00,0.458,3504.22,False,False,January
ELEC000244,2024-01-05,weekday,Hostel Block 2,06-08,0.417,3244.76,False,False,January
ELEC000245,2024-01-05,weekday,Hostel Block 2,08-10,1.533,3246.29,False,False,January
ELEC000246,2024-01-05,weekday,Hostel Block 2,10-12,1.859,3248.15,False,False,January
ELEC000247,2024-01-05,weekday,Hostel Block 2,12-14,1.591,3249.74,False,False,January
ELEC000248,2024-01-05,weekday,Hostel Block 2,14-16,1.63,3251.37,False,False,January
ELEC000249,2024-01-05,weekday,Hostel Block 2,16-18,1.525,3252.89,False,False,January
ELEC000250,2024-01-05,weekday,Hostel Block 2,18-20,1.043,3253.93,False,False,January
ELEC000251,2024-01-05,weekday,Hostel Block 2,20-22,0.928,3254.86,False,False,January
ELEC000252,2024-01-05,weekday,Hostel Block 2,22-00,0.363,3255.22,False,False,January
ELEC000253,2024-01-05,weekday,Library,06-08,0.673,1505.39,False,False,January
ELEC000254,2024-01-05,weekday,Library,08-10,1.955,1507.35,False,False,January
ELEC000255,2024-01-05,weekday,Library,10-12,2.486,1509.84,False,False,January
ELEC000256,2024-01-05,weekday,Library,12-14,2.048,1511.89,False,False,January
ELEC000257,2024-01-05,weekday,Library,14-16,1.731,1513.62,False,False,January
ELEC000258,2024-01-05,weekday,Library,16-18,1.809,1515.43,False,False,January
ELEC000259,2024-01-05,weekday,Library,18-20,1.607,1517.04,False,False,January
ELEC000260,2024-01-05,weekday,Library,20-22,1.167,1518.21,False,False,January
ELEC000261,2024-01-05,weekday,Library,22-00,0.542,1518.75,False,False,January
ELEC000262,2024-01-05,weekday,Labs Complex,06-08,0.592,4289.36,False,False,January
ELEC000263,2024-01-05,weekday,Labs Complex,08-10,1.923,4291.28,False,False,January
ELEC000264,2024-01-05,weekday,Labs Complex,10-12,1.984,4293.26,False,False,January
ELEC000265,2024-01-05,weekday,Labs Complex,12-14,1.81,4295.07,False,False,January
ELEC000266,2024-01-05,weekday,Labs Complex,14-16,1.994,4297.06,False,False,January
ELEC000267,2024-01-05,weekday,Labs Complex,16-18,1.893,4298.95,False,False,January
ELEC000268,2024-01-05,weekday,Labs Complex,18-20,1.46,4300.41,False,False,January
ELEC000269,2024-01-05,weekday,Labs Complex,20-22,1.269,4301.68,False,False,January
ELEC000270,2024-01-05,weekday,Labs Complex,22-00,0.522,4302.2,False,False,January
ELEC000271,2024-01-06,saturday,Academic Block A,06-08,0.67,1423.68,False,False,January
ELEC000272,2024-01-06,saturday,Academic Block A,08-10,1.924,1425.6,False,False,January
ELEC000273,2024-01-06,saturday,Academic Block A,10-12,2.289,1427.89,False,False,January
ELEC000274,2024-01-06,saturday,Academic Block A,12-14,1.866,1429.76,False,False,January
ELEC000275,2024-01-06,saturday,Academic Block A,14-16,2.016,1431.78,False,False,January
ELEC000276,2024-01-06,saturday,Academic Block A,16-18,1.737,1433.52,False,False,January
ELEC000277,2024-01-06,saturday,Academic Block A,18-20,1.483,1435.0,False,False,January
ELEC000278,2024-01-06,saturday,Academic Block A,20-22,1.079,1436.08,False,False,January
ELEC000279,2024-01-06,saturday,Academic Block A,22-00,0.472,1436.55,False,False,January
ELEC000280,2024-01-06,saturday,Academic Block B,06-08,0.565,4901.22,False,False,January
ELEC000281,2024-01-06,saturday,Academic Block B,08-10,2.133,4903.35,False,False,January
ELEC000282,2024-01-06,saturday,Academic Block B,10-12,2.399,4905.75,False,False,January
ELEC000283,2024-01-06,saturday,Academic Block B,12-14,2.08,4907.83,False,False,January
ELEC000284,2024-01-06,saturday,Academic Block B,14-16,1.901,4909.73,False,False,January
ELEC000285,2024-01-06,saturday,Academic Block B,16-18,1.973,4911.7,False,False,January
ELEC000286,2024-01-06,saturday,Academic Block B,18-20,1.703,4913.4,False,False,January
ELEC000287,2024-01-06,saturday,Academic Block B,20-22,1.256,4914.66,False,False,January
ELEC000288,2024-01-06,saturday,Academic Block B,22-00,0.574,4915.23,False,False,January
ELEC000289,2024-01-06,saturday,Hostel Block 1,06-08,0.368,3504.59,False,False,January
ELEC000290,2024-01-06,saturday,Hostel Block 1,08-10,0.857,3505.45,False,False,January
ELEC000291,2024-01-06,saturday,Hostel Block 1,10-12,1.305,3506.75,False,False,January
ELEC000292,2024-01-06,saturday,Hostel Block 1,12-14,1.029,3507.78,False,False,January
ELEC000293,2024-01-06,saturday,Hostel Block 1,14-16,1.19,3508.97,False,False,January
ELEC000294,2024-01-06,saturday,Hostel Block 1,16-18,0.81,3509.78,False,False,January
ELEC000295,2024-01-06,saturday,Hostel Block 1,18-20,0.728,3510.51,False,False,January
ELEC000296,2024-01-06,saturday,Hostel Block 1,20-22,0.59,3511.1,False,False,January
ELEC000297,2024-01-06,saturday,Hostel Block 1,22-00,0.274,3511.37,False,False,January
ELEC000298,2024-01-06,saturday,Hostel Block 2,06-08,0.379,3255.6,False,False,January
ELEC000299,2024-01-06,saturday,Hostel Block 2,08-10,0.999,3256.6,False,False,January
ELEC000300,2024-01-06,saturday,Hostel Block 2,10-12,1.304,3257.9,False,False,January
ELEC000301,2024-01-06,saturday,Hostel Block 2,12-14,0.907,3258.81,False,False,January
ELEC000302,2024-01-06,saturday,Hostel Block 2,14-16,1.2,3260.01,False,False,January
ELEC000303,2024-01-06,saturday,Hostel Block 2,16-18,1.028,,False,False,January
ELEC000304,2024-01-06,saturday,Hostel Block 2,18-20,0.824,3261.86,False,False,January
ELEC000305,2024-01-06,saturday,Hostel Block 2,20-22,0.666,3262.53,False,False,January
ELEC000306,2024-01-06,saturday,Hostel Block 2,22-00,0.306,3262.84,False,False,January
ELEC000307,2024-01-06,saturday,Library,06-08,0.371,,False,False,January
ELEC000308,2024-01-06,saturday,Library,08-10,1.334,1520.46,False,False,January
ELEC000309,2024-01-06,saturday,Library,10-12,1.522,1521.98,False,False,January
ELEC000310,2024-01-06,saturday,Library,12-14,1.201,1523.18,False,False,January
ELEC000311,2024-01-06,saturday,Library,14-16,1.531,1524.71,False,False,January
ELEC000312,2024-01-06,saturday,Library,16-18,1.343,1526.05,False,False,January
ELEC000313,2024-01-06,saturday,Library,18-20,1.017,1527.07,False,False,January
ELEC000314,2024-01-06,saturday,Library,20-22,0.869,1527.94,False,False,January
ELEC000315,2024-01-06,saturday,Library,22-00,0.34,1528.28,False,False,January
ELEC000316,2024-01-06,saturday,Labs Complex,06-08,0.391,4302.59,False,False,January
