Student_ID,Date,Time,Bhawan,Location,Mess_Entry_Time,Mess_Exit_Time,Library_Entry_Time,Library_Exit_Time,Leaves_Hostel,Back_Hostel,WiFi_MB,Active_Users,Electricity_Usage,Food_Category,Attendance,Auto_Taken,Exam_Season,Sleep_Hours
S1046,2026-04-25,03:59 PM,Ganga,Library,0,0,09:35 AM,05:19 PM,09:27 AM,06:06 PM,541.4,52,12.36,None,1,0,1,5
S1047,2026-04-27,01:38 PM,Yamuna,Library,0,0,12:00 PM,05:50 PM,11:31 AM,06:17 PM,562.97,132,32.76,None,0,0,1,3
S1048,2026-04-29,08:43 AM,Rajendra,Mess,08:07 AM,08:54 AM,0,0,0,0,296.43,139,47.98,Breakfast,0,0,1,4
S1049,2026-04-20,08:03 PM,Yamuna,Library,0,0,05:02 PM,11:59 PM,04:52 PM,11:59 PM,635.22,85,15.47,None,0,0,1,4
S1050,2026-04-20,07:01 PM,Sarojini,Library,0,0,06:36 PM,11:59 PM,06:27 PM,11:59 PM,635.12,51,19.67,None,0,0,1,7
S1051,2026-04-17,08:39 PM,Rajendra,Mess,08:07 PM,09:02 PM,0,0,0,0,552.23,128,30.97,Dinner,0,0,0,7
S1052,2026-04-13,04:36 AM,Yamuna,Hostel,0,0,0,0,0,0,225.31,48,17.43,None,0,0,0,4
S1053,2026-04-17,02:17 PM,Sarojini,Library,0,0,12:14 PM,03:01 PM,12:00 PM,03:22 PM,667.15,193,35.93,None,0,0,0,6
S1054,2026-04-21,07:36 PM,Ganga,Library,0,0,02:01 PM,09:12 PM,01:45 PM,09:25 PM,844.74,158,21.92,None,0,0,1,4
S1055,2026-04-08,05:02 AM,Yamuna,Outside,0,0,0,0,04:18 AM,07:26 AM,263.42,179,15.51,None,0,0,0,5
S1056,2026-04-02,10:44 AM,Yamuna,Classroom,0,0,0,0,10:19 AM,11:51 AM,102.68,32,3.12,None,1,1,0,8
S1057,2026-04-29,04:20 PM,Azad,Hostel,0,0,0,0,0,0,232.79,60,16.03,None,0,0,1,5
S1058,2026-04-15,11:17 AM,Yamuna,Hostel,0,0,0,0,0,0,178.14,55,21.1,None,1,0,0,7
S1059,2026-04-20,08:54 PM,Yamuna,Mess,08:23 PM,08:59 PM,0,0,0,0,530.62,48,38.75,Dinner,0,0,1,5
S1060,2026-04-06,06:17 PM,Ganga,Library,0,0,03:51 PM,06:44 PM,03:41 PM,06:57 PM,698.99,114,27.87,None,0,0,0,7
S1061,2026-04-12,08:21 AM,Sarojini,Mess,08:08 AM,08:35 AM,0,0,0,0,536.56,86,42.76,Breakfast,0,0,0,10
S1062,2026-04-28,10:52 AM,Sarojini,Library,0,0,10:23 AM,03:40 PM,09:56 AM,04:21 PM,705.92,31,15.25,None,1,1,1,4
S1063,2026-04-10,05:58 PM,Azad,Library,0,0,05:02 PM,07:28 PM,04:37 PM,08:11 PM,557.91,24,17.11,None,0,0,0,7
S1064,2026-04-05,11:49 AM,Azad,Library,0,0,10:34 AM,12:54 PM,10:21 AM,01:36 PM,801.6,183,29.1,None,1,0,0,7
S1065,2026-04-14,01:07 PM,Azad,Library,0,0,01:04 PM,01:48 PM,12:52 PM,02:20 PM,898.94,194,36.78,None,1,0,0,7
S1066,2026-04-27,09:21 AM,Sarojini,Mess,08:50 AM,09:47 AM,0,0,0,0,498.74,93,49.6,Breakfast,0,0,1,4
S1067,2026-04-04,11:18 PM,Azad,Library,0,0,10:47 PM,11:59 PM,10:28 PM,11:59 PM,535.99,159,30.41,None,0,0,0,9
S1068,2026-04-28,06:11 PM,Yamuna,Library,0,0,05:57 PM,11:59 PM,05:47 PM,11:59 PM,560.41,157,19.71,None,0,0,1,5
S1069,2026-04-12,01:54 AM,Rajendra,Hostel,0,0,0,0,0,0,376.47,190,43.07,None,0,0,0,7
S1070,2026-04-23,03:17 PM,Yamuna,Mess,02:42 PM,03:22 PM,0,0,0,0,378.46,35,39.35,Lunch,0,0,1,4
S1071,2026-04-10,10:04 AM,Yamuna,Library,0,0,09:39 AM,10:18 AM,09:25 AM,10:52 AM,863.76,96,26.29,None,0,0,0,6
S1072,2026-04-30,07:42 PM,Ganga,Mess,07:00 PM,07:42 PM,0,0,0,0,555.94,121,33.91,Dinner,0,0,1,7
S1073,2026-04-10,09:43 AM,Sarojini,Mess,08:56 AM,09:55 AM,0,0,0,0,443.84,135,42.41,Breakfast,1,1,0,5
S1074,2026-04-28,02:14 PM,Sarojini,Mess,01:59 PM,02:21 PM,0,0,0,0,327.02,96,46.43,Lunch,1,0,1,5
S1075,2026-04-03,08:45 PM,Sarojini,Hostel,0,0,0,0,0,0,896.99,83,26.6,None,0,0,0,6
S1076,2026-04-15,02:43 PM,Yamuna,Mess,02:25 PM,03:05 PM,0,0,0,0,604.2,26,26.2,Lunch,1,0,0,9
S1077,2026-04-24,03:34 PM,Ganga,Mess,02:45 PM,03:37 PM,0,0,0,0,548.42,68,49.39,Lunch,1,0,1,6
S1078,2026-04-22,07:54 PM,Rajendra,Mess,07:37 PM,08:16 PM,0,0,0,0,587.64,185,50.08,Dinner,0,0,1,6
S1079,2026-04-01,09:53 PM,Rajendra,Mess,09:50 PM,10:20 PM,0,0,0,0,316.02,80,38.49,Dinner,0,0,0,8
S1080,2026-04-11,11:22 PM,Rajendra,Library,0,0,10:51 PM,11:27 PM,10:46 PM,11:59 PM,869.97,53,18.68,None,0,0,0,6
S1081,2026-04-28,09:37 PM,Sarojini,Mess,09:25 PM,09:47 PM,0,0,0,0,548.16,168,50.91,Dinner,0,0,1,5
S1082,2026-04-29,08:56 PM,Yamuna,Mess,08:26 PM,09:16 PM,0,0,0,0,489.79,46,29.67,Dinner,0,0,1,8
S1083,2026-04-24,08:22 PM,Ganga,Library,0,0,03:41 PM,11:53 PM,03:13 PM,11:59 PM,908.72,199,35.95,None,0,0,1,5
S1084,2026-04-20,03:21 PM,Yamuna,Outside,0,0,0,0,02:24 PM,04:45 PM,273.37,197,21.3,None,0,0,1,4
S1085,2026-04-28,07:29 PM,Rajendra,Mess,07:15 PM,07:52 PM,0,0,0,0,347.36,177,36.92,Dinner,0,0,1,4
S1086,2026-04-08,11:04 AM,Yamuna,Library,0,0,09:23 AM,11:24 AM,09:06 AM,12:20 PM,506.17,28,16.86,None,1,0,0,8
S1087,2026-04-26,06:51 AM,Azad,Outside,0,0,0,0,04:56 AM,08:50 AM,227.13,44,2.53,None,0,0,1,6
S1088,2026-04-19,09:55 AM,Rajendra,Library,0,0,09:07 AM,10:57 AM,08:39 AM,11:45 AM,657.68,175,20.88,None,1,1,0,9
S1089,2026-04-14,03:56 AM,Yamuna,Hostel,0,0,0,0,0,0,255.46,42,15.79,None,0,0,0,4
S1090,2026-04-20,08:58 AM,Sarojini,Mess,08:30 AM,09:12 AM,0,0,0,0,504.3,41,40.81,Breakfast,0,0,1,4
S1091,2026-04-30,04:32 PM,Yamuna,Outside,0,0,0,0,03:54 PM,06:05 PM,134.24,169,24.71,None,1,1,1,7
S1092,2026-04-01,07:30 PM,Yamuna,Hostel,0,0,0,0,0,0,250.96,111,24.69,None,0,0,0,7
S1093,2026-04-05,07:29 AM,Sarojini,Mess,07:03 AM,07:41 AM,0,0,0,0,462.72,88,34.48,Breakfast,0,0,0,4
S1094,2026-04-27,05:55 PM,Yamuna,Library,0,0,03:21 PM,11:59 PM,02:51 PM,11:59 PM,678.77,98,19.45,None,0,0,1,4
S1095,2026-04-11,09:59 AM,Yamuna,Mess,09:34 AM,10:05 AM,0,0,0,0,332.88,67,47.9,Breakfast,0,0,0,7
S1096,2026-04-09,01:31 PM,Rajendra,Library,0,0,01:02 PM,02:27 PM,12:46 PM,03:10 PM,747.84,34,8.38,None,0,0,0,7
S1097,2026-04-11,05:21 AM,Azad,Outside,0,0,0,0,04:41 AM,08:05 AM,394.42,46,3.82,None,0,0,0,8
S1098,2026-04-30,04:15 PM,Sarojini,Library,0,0,01:55 PM,09:23 PM,01:35 PM,10:05 PM,878.86,140,24.83,None,1,1,1,5
S1099,2026-04-02,08:00 PM,Ganga,Mess,07:38 PM,08:05 PM,0,0,0,0,352.82,42,34.07,Dinner,0,0,0,9
S1100,2026-04-01,09:36 PM,Azad,Library,0,0,09:13 PM,10:11 PM,08:53 PM,10:25 PM,958.65,48,12.82,None,0,0,0,6
S1101,2026-04-08,10:23 AM,Sarojini,Hostel,0,0,0,0,0,0,347.71,157,26.5,None,0,0,0,5
S1102,2026-04-14,08:13 AM,Yamuna,Mess,08:08 AM,08:44 AM,0,0,0,0,404.63,16,32.54,Breakfast,0,0,0,7
S1103,2026-04-28,02:16 PM,Rajendra,Mess,02:14 PM,02:55 PM,0,0,0,0,435.4,65,39.53,Lunch,0,0,1,4
S1104,2026-04-30,01:54 PM,Yamuna,Mess,01:21 PM,02:04 PM,0,0,0,0,527.55,140,37.33,Lunch,1,0,1,6
S1105,2026-04-09,02:42 PM,Yamuna,Library,0,0,01:13 PM,03:08 PM,01:03 PM,03:18 PM,768.11,95,25.29,None,1,0,0,6
S1106,2026-04-15,12:27 PM,Azad,Mess,12:25 PM,12:47 PM,0,0,0,0,600.76,53,30.4,Lunch,1,0,0,6
S1107,2026-04-24,10:06 PM,Azad,Mess,09:48 PM,10:42 PM,0,0,0,0,417.16,70,29.0,Dinner,0,0,1,7
S1108,2026-04-02,06:57 PM,Rajendra,Library,0,0,06:43 PM,07:29 PM,06:19 PM,07:56 PM,1000.78,105,18.23,None,0,0,0,8
S1109,2026-04-21,08:28 PM,Rajendra,Outside,0,0,0,0,07:03 PM,09:50 PM,316.17,131,9.39,None,0,0,1,6
S1110,2026-04-23,08:52 PM,Rajendra,Outside,0,0,0,0,07:55 PM,11:06 PM,175.46,95,8.93,None,0,0,1,8
S1111,2026-04-27,07:38 PM,Ganga,Mess,07:22 PM,07:42 PM,0,0,0,0,480.06,81,30.73,Dinner,0,0,1,6
S1112,2026-04-09,02:17 PM,Azad,Outside,0,0,0,0,01:29 PM,04:58 PM,201.6,10,0.94,None,0,0,0,7
S1113,2026-04-20,11:19 PM,Sarojini,Library,0,0,06:35 PM,11:38 PM,06:09 PM,11:59 PM,699.02,29,16.15,None,0,0,1,4
S1114,2026-04-15,01:15 AM,Rajendra,Hostel,0,0,0,0,0,0,390.41,175,36.18,None,0,0,0,15
S1115,2026-04-11,01:25 AM,Rajendra,Outside,0,0,0,0,0,04:18 AM,375.84,143,14.29,None,0,0,0,6
S1116,2026-04-11,03:05 PM,Ganga,Outside,0,0,0,0,01:13 PM,04:44 PM,109.07,97,9.89,None,0,0,0,3
S1117,2026-04-11,07:42 AM,Azad,Mess,07:33 AM,08:00 AM,0,0,0,0,441.65,110,49.18,Breakfast,0,0,0,8
S1118,2026-04-25,11:33 PM,Sarojini,Library,0,0,09:56 PM,11:59 PM,09:48 PM,11:59 PM,524.44,155,31.45,None,0,0,1,8
S1119,2026-04-24,07:45 PM,Azad,Mess,07:22 PM,07:57 PM,0,0,0,0,524.83,174,58.77,Dinner,0,0,1,3
S1120,2026-04-30,08:51 PM,Rajendra,Library,0,0,08:21 PM,11:59 PM,08:16 PM,11:59 PM,989.76,45,11.7,None,0,0,1,5
S1121,2026-04-17,06:18 PM,Sarojini,Library,0,0,05:41 PM,06:19 PM,05:18 PM,07:08 PM,891.33,71,22.57,None,0,0,0,8
S1122,2026-04-06,07:59 PM,Ganga,Library,0,0,07:36 PM,08:25 PM,07:07 PM,08:53 PM,709.65,32,15.52,None,0,0,0,4
S1123,2026-04-01,06:40 AM,Ganga,Hostel,0,0,0,0,0,0,297.71,175,28.49,None,0,0,0,7
S1124,2026-04-15,07:44 AM,Yamuna,Mess,07:09 AM,08:03 AM,0,0,0,0,295.72,11,39.82,Breakfast,0,0,0,8
S1125,2026-04-28,12:23 PM,Rajendra,Library,0,0,09:38 AM,02:47 PM,09:23 AM,03:45 PM,819.71,156,32.11,None,0,0,1,3
S1126,2026-04-06,09:28 AM,Azad,Mess,09:24 AM,10:20 AM,0,0,0,0,469.35,39,42.96,Breakfast,1,1,0,8
S1127,2026-04-24,09:05 PM,Rajendra,Mess,08:42 PM,09:28 PM,0,0,0,0,441.82,89,38.98,Dinner,0,0,1,4
S1128,2026-04-05,06:46 PM,Sarojini,Library,0,0,06:33 PM,08:01 PM,06:25 PM,08:44 PM,841.62,160,33.42,None,0,0,0,10
S1129,2026-04-29,03:27 PM,Sarojini,Library,0,0,11:43 AM,04:43 PM,11:34 AM,05:21 PM,1012.8,138,24.22,None,1,0,1,5
S1130,2026-04-26,12:49 PM,Sarojini,Classroom,0,0,0,0,12:18 PM,02:02 PM,105.39,27,3.33,None,1,0,1,5
S1131,2026-04-14,12:04 AM,Sarojini,Hostel,0,0,0,0,0,0,287.3,188,35.34,None,0,0,0,6
S1132,2026-04-18,04:02 PM,Rajendra,Library,0,0,03:26 PM,06:23 PM,02:57 PM,06:54 PM,787.71,99,20.36,None,0,0,0,7
S1133,2026-04-27,10:32 AM,Azad,Mess,09:56 AM,10:45 AM,0,0,0,0,542.56,159,36.81,Breakfast,1,1,1,6
S1134,2026-04-14,09:13 AM,Sarojini,Mess,09:10 AM,09:32 AM,0,0,0,0,583.62,130,46.97,Breakfast,0,0,0,7
S1135,2026-05-01,04:39 PM,Yamuna,Library,0,0,02:59 PM,05:21 PM,02:52 PM,06:17 PM,842.04,72,16.57,None,1,1,0,8
S1136,2026-04-15,11:06 AM,Ganga,Outside,0,0,0,0,10:28 AM,01:57 PM,368.69,56,5.89,None,1,0,0,8
S1137,2026-04-28,12:13 PM,Azad,Library,0,0,12:13 PM,07:27 PM,12:02 PM,08:09 PM,530.91,107,22.74,None,1,0,1,8
S1138,2026-04-15,10:14 PM,Sarojini,Mess,09:59 PM,10:59 PM,0,0,0,0,565.16,163,54.58,Dinner,0,0,0,5
S1139,2026-04-19,07:50 PM,Azad,Mess,07:49 PM,08:16 PM,0,0,0,0,428.14,145,47.31,Dinner,0,0,0,8
S1140,2026-04-30,07:40 AM,Ganga,Mess,07:35 AM,08:00 AM,0,0,0,0,566.95,58,24.64,Breakfast,0,0,1,7
S1141,2026-04-21,11:27 PM,Sarojini,Outside,0,0,0,0,09:53 PM,11:59 PM,337.98,110,13.92,None,0,0,1,3
S1142,2026-04-21,07:20 PM,Ganga,Library,0,0,01:13 PM,08:29 PM,01:06 PM,08:44 PM,1002.47,122,12.77,None,0,0,1,5
S1143,2026-04-23,02:56 PM,Sarojini,Library,0,0,11:19 AM,06:05 PM,10:53 AM,06:46 PM,764.04,42,14.25,None,0,0,1,5
S1144,2026-04-08,03:28 PM,Yamuna,Library,0,0,01:53 PM,04:14 PM,01:38 PM,04:30 PM,790.16,140,23.73,None,1,0,0,7
S1145,2026-04-27,03:45 PM,Yamuna,Classroom,0,0,0,0,03:25 PM,04:38 PM,114.38,93,9.54,None,1,0,1,3
S1146,2026-04-06,11:58 PM,Yamuna,Library,0,0,10:48 PM,11:59 PM,10:19 PM,11:59 PM,843.43,140,23.16,None,0,0,0,7
S1147,2026-04-25,08:15 PM,Sarojini,Mess,08:06 PM,09:03 PM,0,0,0,0,253.74,174,56.19,Dinner,0,0,1,4
S1148,2026-04-20,10:59 AM,Ganga,Outside,0,0,0,0,09:24 AM,12:51 PM,216.19,196,17.01,None,0,0,1,3
S1149,2026-05-01,07:30 PM,Sarojini,Outside,0,0,0,0,06:11 PM,08:50 PM,120.63,107,9.95,None,0,0,0,5
S1150,2026-04-17,01:44 AM,Azad,Outside,0,0,0,0,12:15 AM,03:10 AM,273.72,25,1.98,None,0,0,0,6
S1151,2026-04-05,07:24 PM,Sarojini,Library,0,0,05:37 PM,07:57 PM,05:31 PM,08:52 PM,885.41,175,25.84,None,0,0,0,8
S1152,2026-04-10,02:54 PM,Azad,Mess,02:26 PM,02:59 PM,0,0,0,0,658.43,68,35.61,Lunch,0,0,0,7
S1153,2026-04-09,05:50 AM,Sarojini,Outside,0,0,0,0,05:05 AM,07:09 AM,156.21,93,13.72,None,0,0,0,6
S1154,2026-04-25,02:35 PM,Azad,Mess,02:30 PM,02:55 PM,0,0,0,0,584.4,158,44.39,Lunch,1,0,1,3
S1155,2026-04-26,12:05 PM,Azad,Mess,12:05 PM,12:42 PM,0,0,0,0,594.59,42,30.92,Lunch,0,0,1,8
S1156,2026-04-12,10:41 PM,Ganga,Outside,0,0,0,0,09:21 PM,11:59 PM,384.34,86,9.52,None,0,0,0,4
S1157,2026-04-20,08:44 AM,Rajendra,Hostel,0,0,0,0,0,0,265.26,106,30.3,None,0,0,1,3
S1158,2026-04-16,06:45 AM,Yamuna,Hostel,0,0,0,0,0,0,155.8,16,11.96,None,0,0,0,5
S1159,2026-04-05,10:13 AM,Rajendra,Library,0,0,10:10 AM,11:45 AM,09:53 AM,12:40 PM,859.03,164,33.84,None,1,1,0,7
S1160,2026-04-13,09:00 PM,Ganga,Mess,08:35 PM,09:18 PM,0,0,0,0,491.96,28,33.76,Dinner,0,0,0,5
S1161,2026-04-15,08:15 PM,Yamuna,Mess,08:00 PM,08:50 PM,0,0,0,0,531.38,155,57.1,Dinner,0,0,0,7
S1162,2026-04-21,08:33 PM,Azad,Library,0,0,04:59 PM,11:59 PM,04:42 PM,11:59 PM,520.68,24,14.14,None,0,0,1,6
S1163,2026-04-29,02:20 AM,Rajendra,Hostel,0,0,0,0,0,0,133.5,73,28.56,None,0,0,1,6
S1164,2026-04-07,04:16 AM,Azad,Outside,0,0,0,0,03:15 AM,05:19 AM,369.84,163,18.81,None,0,0,0,6
S1165,2026-04-21,11:24 PM,Ganga,Library,0,0,06:04 PM,11:34 PM,05:50 PM,11:59 PM,727.7,195,24.67,None,0,0,1,6
S1166,2026-04-12,12:38 PM,Ganga,Mess,12:07 PM,12:56 PM,0,0,0,0,437.23,104,50.28,Lunch,0,0,0,7
S1167,2026-04-06,06:55 AM,Sarojini,Hostel,0,0,0,0,0,0,183.93,118,31.77,None,0,0,0,7
S1168,2026-04-22,08:45 AM,Rajendra,Mess,08:28 AM,08:53 AM,0,0,0,0,266.12,131,46.37,Breakfast,0,0,1,6
S1169,2026-04-12,07:03 AM,Sarojini,Outside,0,0,0,0,05:34 AM,09:15 AM,241.72,35,3.65,None,0,0,0,8
S1170,2026-04-19,07:46 PM,Azad,Outside,0,0,0,0,06:24 PM,10:41 PM,160.7,153,21.25,None,0,0,0,4
S1171,2026-04-04,10:08 PM,Rajendra,Mess,09:54 PM,10:45 PM,0,0,0,0,350.05,93,45.72,Dinner,0,0,0,3
S1172,2026-04-23,10:59 PM,Ganga,Library,0,0,08:35 PM,11:59 PM,08:25 PM,11:59 PM,823.06,110,24.62,None,0,0,1,5
S1173,2026-04-25,03:24 PM,Sarojini,Library,0,0,03:18 PM,10:12 PM,03:00 PM,11:02 PM,787.16,145,21.53,None,1,0,1,8
S1174,2026-04-26,07:45 AM,Ganga,Hostel,0,0,0,0,0,0,217.47,28,19.42,None,0,0,1,7
S1175,2026-04-30,07:44 PM,Sarojini,Mess,07:10 PM,07:56 PM,0,0,0,0,361.67,113,29.92,Dinner,0,0,1,8
S1176,2026-04-19,07:56 AM,Rajendra,Mess,07:54 AM,08:35 AM,0,0,0,0,396.91,57,42.21,Breakfast,0,0,0,12
S1177,2026-04-11,07:21 AM,Sarojini,Mess,07:11 AM,08:00 AM,0,0,0,0,246.93,83,26.83,Breakfast,0,0,0,6
S1178,2026-04-17,11:13 AM,Sarojini,Library,0,0,10:19 AM,11:19 AM,10:03 AM,12:17 PM,506.44,160,29.99,None,0,0,0,6
S1179,2026-04-22,10:14 AM,Azad,Mess,09:45 AM,10:28 AM,0,0,0,0,292.56,91,45.42,Breakfast,0,0,1,7
S1180,2026-04-10,07:35 PM,Azad,Mess,07:09 PM,07:50 PM,0,0,0,0,432.13,173,56.38,Dinner,0,0,0,7
S1181,2026-04-18,10:08 PM,Ganga,Mess,09:21 PM,10:17 PM,0,0,0,0,634.78,125,38.7,Dinner,0,0,0,7
S1182,2026-04-27,07:55 PM,Yamuna,Mess,07:38 PM,08:06 PM,0,0,0,0,432.06,106,32.78,Dinner,0,0,1,5
S1183,2026-04-27,02:15 PM,Azad,Hostel,0,0,0,0,0,0,161.88,10,15.34,None,1,0,1,8
S1184,2026-04-30,09:03 PM,Ganga,Library,0,0,05:18 PM,11:59 PM,05:09 PM,11:59 PM,438.26,64,13.88,None,0,0,1,8
S1185,2026-04-16,11:48 PM,Ganga,Hostel,0,0,0,0,0,0,1201.87,179,31.41,None,0,0,0,13
S1186,2026-04-19,09:57 AM,Sarojini,Library,0,0,09:39 AM,10:20 AM,09:18 AM,10:48 AM,908.64,44,17.56,None,0,0,0,4
S1187,2026-04-03,02:24 PM,Sarojini,Mess,02:24 PM,02:45 PM,0,0,0,0,425.29,38,37.54,Lunch,0,0,0,7
S1188,2026-05-01,07:13 PM,Ganga,Mess,07:10 PM,07:43 PM,0,0,0,0,356.0,104,50.28,Dinner,0,0,0,8
